cluster_id,cluster_size
Cluster 66450,6
Cluster 1329,6
Cluster 13971,6
Cluster 9156,6
Cluster 62968,6
Cluster 11351,6
Cluster 43693,6
Cluster 37183,6
Cluster 8914,6
Cluster 27530,6
Cluster 27512,6
Cluster 53298,6
Cluster 1811,6
Cluster 50837,6
Cluster 50756,6
Cluster 34551,6
Cluster 16641,6
Cluster 20475,6
Cluster 16663,6
Cluster 27414,6
Cluster 16507,6
Cluster 43652,6
Cluster 5089,6
Cluster 4218,6
Cluster 27830,6
Cluster 13464,6
Cluster 11458,6
Cluster 31122,6
Cluster 13056,6
Cluster 48434,6
Cluster 31787,6
Cluster 51101,6
Cluster 26749,6
Cluster 62740,6
Cluster 28488,6
Cluster 22242,6
Cluster 37764,6
Cluster 26702,6
Cluster 56215,6
Cluster 556,6
Cluster 2351,6
Cluster 31903,6
Cluster 51161,6
Cluster 4943,6
Cluster 7024,6
Cluster 19819,6
Cluster 14309,6
Cluster 12971,6
Cluster 17065,6
Cluster 42495,6
Cluster 305,6
Cluster 40030,6
Cluster 41850,6
Cluster 20078,6
Cluster 26993,6
Cluster 60212,6
Cluster 35059,6
Cluster 11043,6
Cluster 35070,6
Cluster 31678,6
Cluster 23359,6
Cluster 14148,6
Cluster 6930,6
Cluster 20037,6
Cluster 5054,6
Cluster 42329,6
Cluster 22324,6
Cluster 36597,6
Cluster 4715,6
Cluster 2001,6
Cluster 6369,6
Cluster 1412,6
Cluster 30559,6
Cluster 7479,6
Cluster 4895,6
Cluster 45493,6
Cluster 15210,6
Cluster 61292,6
Cluster 14963,6
Cluster 2472,6
Cluster 18819,6
Cluster 15651,6
Cluster 3311,6
Cluster 15334,6
Cluster 1555,6
Cluster 57460,6
Cluster 72731,6
Cluster 24886,6
Cluster 57432,6
Cluster 38541,6
Cluster 45326,6
Cluster 1568,6
Cluster 25254,6
Cluster 9908,6
Cluster 39021,6
Cluster 33508,6
Cluster 25049,6
Cluster 42550,5
Cluster 67724,5
Cluster 35062,5
Cluster 2074,5
Cluster 61467,5
Cluster 3790,5
Cluster 10785,5
Cluster 33112,5
Cluster 37898,5
Cluster 35075,5
Cluster 351,5
Cluster 35054,5
Cluster 3800,5
Cluster 33407,5
Cluster 30624,5
Cluster 19265,5
Cluster 6562,5
Cluster 6539,5
Cluster 23655,5
Cluster 14468,5
Cluster 34038,5
Cluster 13096,5
Cluster 22475,5
Cluster 74932,5
Cluster 43828,5
Cluster 13235,5
Cluster 26424,5
Cluster 23698,5
Cluster 22463,5
Cluster 4706,5
Cluster 4187,5
Cluster 47032,5
Cluster 34092,5
Cluster 17884,5
Cluster 10737,5
Cluster 16094,5
Cluster 56462,5
Cluster 2827,5
Cluster 47022,5
Cluster 45622,5
Cluster 17878,5
Cluster 52614,5
Cluster 20728,5
Cluster 16088,5
Cluster 2828,5
Cluster 44590,5
Cluster 23725,5
Cluster 19749,5
Cluster 15990,5
Cluster 43933,5
Cluster 9502,5
Cluster 48636,5
Cluster 30352,5
Cluster 15975,5
Cluster 28758,5
Cluster 60014,5
Cluster 35288,5
Cluster 28772,5
Cluster 53569,5
Cluster 35295,5
Cluster 18583,5
Cluster 24327,5
Cluster 30818,5
Cluster 4789,5
Cluster 7795,5
Cluster 42684,5
Cluster 47305,5
Cluster 11902,5
Cluster 61064,5
Cluster 38156,5
Cluster 39594,5
Cluster 17714,5
Cluster 47310,5
Cluster 33926,5
Cluster 11908,5
Cluster 47875,5
Cluster 61069,5
Cluster 32336,5
Cluster 48592,5
Cluster 46175,5
Cluster 46173,5
Cluster 68518,5
Cluster 8658,5
Cluster 47164,5
Cluster 22286,5
Cluster 4617,5
Cluster 28466,5
Cluster 23813,5
Cluster 13051,5
Cluster 39670,5
Cluster 2502,5
Cluster 52148,5
Cluster 4560,5
Cluster 59049,5
Cluster 20871,5
Cluster 6526,5
Cluster 36470,5
Cluster 30454,5
Cluster 45469,5
Cluster 9478,5
Cluster 36468,5
Cluster 12973,5
Cluster 22122,5
Cluster 7732,5
Cluster 22114,5
Cluster 22096,5
Cluster 24675,5
Cluster 22222,5
Cluster 25194,5
Cluster 20238,5
Cluster 14101,5
Cluster 10994,5
Cluster 61798,5
Cluster 25193,5
Cluster 23089,5
Cluster 18321,5
Cluster 13791,5
Cluster 9858,5
Cluster 37672,5
Cluster 2455,5
Cluster 34350,5
Cluster 50874,5
Cluster 51856,5
Cluster 54510,5
Cluster 27420,5
Cluster 37245,5
Cluster 13716,5
Cluster 27448,5
Cluster 15652,5
Cluster 22997,5
Cluster 3432,5
Cluster 22991,5
Cluster 49635,5
Cluster 3431,5
Cluster 18862,5
Cluster 6670,5
Cluster 19963,5
Cluster 13754,5
Cluster 16346,5
Cluster 2009,5
Cluster 2324,5
Cluster 11093,5
Cluster 24518,5
Cluster 429,5
Cluster 20116,5
Cluster 9133,5
Cluster 39197,5
Cluster 58221,5
Cluster 26964,5
Cluster 37470,5
Cluster 2320,5
Cluster 31673,5
Cluster 37355,5
Cluster 25303,5
Cluster 14058,5
Cluster 13886,5
Cluster 2317,5
Cluster 15634,5
Cluster 5444,5
Cluster 4958,5
Cluster 26891,5
Cluster 69447,5
Cluster 31467,5
Cluster 42223,5
Cluster 16293,5
Cluster 66611,5
Cluster 15174,5
Cluster 25301,5
Cluster 7487,5
Cluster 6331,5
Cluster 11433,5
Cluster 37013,5
Cluster 65871,5
Cluster 36999,5
Cluster 46891,5
Cluster 7633,5
Cluster 18405,5
Cluster 13455,5
Cluster 26607,5
Cluster 43755,5
Cluster 9323,5
Cluster 5870,5
Cluster 5726,5
Cluster 4197,5
Cluster 60370,5
Cluster 34831,5
Cluster 5252,5
Cluster 18417,5
Cluster 14293,5
Cluster 43458,5
Cluster 16729,5
Cluster 1013,5
Cluster 23602,5
Cluster 13373,5
Cluster 50659,5
Cluster 28049,5
Cluster 16137,5
Cluster 25087,5
Cluster 42379,5
Cluster 66080,5
