dim,fold,best_C,best_gamma,best_class_weight,precision@0.5,recall@0.5,accuracy@0.5,f1@0.5,mcc@0.5,auroc,auprc
426,1,30,0.001,balanced,0.8809523809523809,0.6065573770491803,0.9409368635437881,0.7184466019417476,0.7016439939344036,0.9359130766298133,0.8146947828503572
426,2,100,0.001,balanced,0.7608695652173914,0.6140350877192983,0.9315352697095436,0.6796116504854369,0.6463977753834523,0.9438183694530444,0.807767767914002
426,3,3,0.001,balanced,0.8846153846153846,0.7419354838709677,0.9550102249488752,0.8070175438596491,0.7856507729063842,0.9657588577472237,0.8538121038101678
426,4,3,0.001,balanced,0.7391304347826086,0.5666666666666667,0.9219712525667351,0.6415094339622641,0.6052410378733948,0.9501561280249805,0.7717924527452363
426,5,30,0.001,balanced,0.7659574468085106,0.6666666666666666,0.9398340248962656,0.7128712871287128,0.681490833168608,0.9453530633437175,0.8218775014999004
