threshold,Accuracy,Precision,Recall,F1,MCC,Specificity,AUROC,AUPRC
0.0,0.7489597780859917,0.0,0.0,0.0,0.0,0.7489597780859917,0.8293636177614079,0.6800863182266207
0.0025,0.7489597780859917,0.0,0.0,0.0,0.0,0.7489597780859917,0.8293636177614079,0.6800863182266207
0.005,0.7489597780859917,0.0,0.0,0.0,0.0,0.7489597780859917,0.8293636177614079,0.6800863182266207
0.0075,0.7489597780859917,0.0,0.0,0.0,0.0,0.7489597780859917,0.8293636177614079,0.6800863182266207
0.01,0.7489597780859917,0.0,0.0,0.0,0.0,0.7489597780859917,0.8293636177614079,0.6800863182266207
0.0125,0.7489597780859917,0.0,0.0,0.0,0.0,0.7489597780859917,0.8293636177614079,0.6800863182266207
0.015,0.7489597780859917,0.0,0.0,0.0,0.0,0.7489597780859917,0.8293636177614079,0.6800863182266207
0.0175,0.7489597780859917,0.0,0.0,0.0,0.0,0.7489597780859917,0.8293636177614079,0.6800863182266207
0.02,0.7489597780859917,0.0,0.0,0.0,0.0,0.7489597780859917,0.8293636177614079,0.6800863182266207
0.0225,0.7503467406380028,1.0,0.0055248618784530384,0.01098901098901099,0.06437116131343118,0.75,0.8293636177614079,0.6800863182266207
0.025,0.7503467406380028,1.0,0.0055248618784530384,0.01098901098901099,0.06437116131343118,0.75,0.8293636177614079,0.6800863182266207
0.0275,0.7517337031900139,1.0,0.011049723756906077,0.02185792349726776,0.09109785373496579,0.7510431154381085,0.8293636177614079,0.6800863182266207
0.03,0.7517337031900139,1.0,0.011049723756906077,0.02185792349726776,0.09109785373496579,0.7510431154381085,0.8293636177614079,0.6800863182266207
0.0325,0.7517337031900139,1.0,0.011049723756906077,0.02185792349726776,0.09109785373496579,0.7510431154381085,0.8293636177614079,0.6800863182266207
0.035,0.7517337031900139,1.0,0.011049723756906077,0.02185792349726776,0.09109785373496579,0.7510431154381085,0.8293636177614079,0.6800863182266207
0.0375,0.753120665742025,1.0,0.016574585635359115,0.03260869565217391,0.11164929824311907,0.7520891364902507,0.8293636177614079,0.6800863182266207
0.04,0.753120665742025,1.0,0.016574585635359115,0.03260869565217391,0.11164929824311907,0.7520891364902507,0.8293636177614079,0.6800863182266207
0.0425,0.7558945908460472,1.0,0.027624309392265192,0.053763440860215055,0.14433979478056277,0.7541899441340782,0.8293636177614079,0.6800863182266207
0.045,0.7558945908460472,1.0,0.027624309392265192,0.053763440860215055,0.14433979478056277,0.7541899441340782,0.8293636177614079,0.6800863182266207
0.0475,0.7558945908460472,1.0,0.027624309392265192,0.053763440860215055,0.14433979478056277,0.7541899441340782,0.8293636177614079,0.6800863182266207
0.05,0.7558945908460472,1.0,0.027624309392265192,0.053763440860215055,0.14433979478056277,0.7541899441340782,0.8293636177614079,0.6800863182266207
0.0525,0.7572815533980582,1.0,0.03314917127071823,0.06417112299465241,0.15822685531514574,0.7552447552447552,0.8293636177614079,0.6800863182266207
0.055,0.7586685159500693,1.0,0.03867403314917127,0.07446808510638298,0.1710241759760321,0.7563025210084033,0.8293636177614079,0.6800863182266207
0.0575,0.7586685159500693,1.0,0.03867403314917127,0.07446808510638298,0.1710241759760321,0.7563025210084033,0.8293636177614079,0.6800863182266207
0.06,0.7628294036061026,1.0,0.055248618784530384,0.10471204188481675,0.2048437850950045,0.759493670886076,0.8293636177614079,0.6800863182266207
