threshold,Accuracy,Precision,Recall,F1,MCC,Specificity,AUROC,AUPRC
0.0,0.75,0.0,0.0,0.0,0.0,0.75,0.8020164609053497,0.6700415193757143
0.0025,0.75,0.0,0.0,0.0,0.0,0.75,0.8020164609053497,0.6700415193757143
0.005,0.75,0.0,0.0,0.0,0.0,0.75,0.8020164609053497,0.6700415193757143
0.0075,0.75,0.0,0.0,0.0,0.0,0.75,0.8020164609053497,0.6700415193757143
0.01,0.75,0.0,0.0,0.0,0.0,0.75,0.8020164609053497,0.6700415193757143
0.0125,0.75,0.0,0.0,0.0,0.0,0.75,0.8020164609053497,0.6700415193757143
0.015,0.75,0.0,0.0,0.0,0.0,0.75,0.8020164609053497,0.6700415193757143
0.0175,0.75,0.0,0.0,0.0,0.0,0.75,0.8020164609053497,0.6700415193757143
0.02,0.7513888888888889,1.0,0.005555555555555556,0.011049723756906077,0.06459459538099094,0.7510431154381085,0.8020164609053497,0.6700415193757143
0.0225,0.7527777777777778,1.0,0.011111111111111112,0.02197802197802198,0.09141414530040078,0.7520891364902507,0.8020164609053497,0.6700415193757143
0.025,0.7541666666666667,1.0,0.016666666666666666,0.03278688524590164,0.11203705304599067,0.7531380753138075,0.8020164609053497,0.6700415193757143
0.0275,0.7541666666666667,1.0,0.016666666666666666,0.03278688524590164,0.11203705304599067,0.7531380753138075,0.8020164609053497,0.6700415193757143
0.03,0.7541666666666667,1.0,0.016666666666666666,0.03278688524590164,0.11203705304599067,0.7531380753138075,0.8020164609053497,0.6700415193757143
0.0325,0.7541666666666667,1.0,0.016666666666666666,0.03278688524590164,0.11203705304599067,0.7531380753138075,0.8020164609053497,0.6700415193757143
0.035,0.7541666666666667,1.0,0.016666666666666666,0.03278688524590164,0.11203705304599067,0.7531380753138075,0.8020164609053497,0.6700415193757143
0.0375,0.7569444444444444,1.0,0.027777777777777776,0.05405405405405406,0.14484136487558028,0.7552447552447552,0.8020164609053497,0.6700415193757143
0.04,0.7569444444444444,1.0,0.027777777777777776,0.05405405405405406,0.14484136487558028,0.7552447552447552,0.8020164609053497,0.6700415193757143
0.0425,0.7583333333333333,1.0,0.03333333333333333,0.06451612903225806,0.15877683720748895,0.7563025210084033,0.8020164609053497,0.6700415193757143
0.045,0.7583333333333333,1.0,0.03333333333333333,0.06451612903225806,0.15877683720748895,0.7563025210084033,0.8020164609053497,0.6700415193757143
0.0475,0.7597222222222222,1.0,0.03888888888888889,0.0748663101604278,0.17161880849070707,0.7573632538569425,0.8020164609053497,0.6700415193757143
0.05,0.7597222222222222,1.0,0.03888888888888889,0.0748663101604278,0.17161880849070707,0.7573632538569425,0.8020164609053497,0.6700415193757143
0.0525,0.7625,1.0,0.05,0.09523809523809523,0.19487094073848926,0.759493670886076,0.8020164609053497,0.6700415193757143
0.055,0.7625,1.0,0.05,0.09523809523809523,0.19487094073848926,0.759493670886076,0.8020164609053497,0.6700415193757143
