threshold,precision,recall,specificity,accuracy,f1,mcc,auprc,auroc
-2.9862710907886227,0.2526580861779519,1.0,0.013663220088626292,0.26031570202160065,0.4033951306678579,0.05875477034778083,0.9213587645062322,0.9654479324621196
-2.963856022049493,0.25287034444133294,1.0,0.014771048744460856,0.2611464968152866,0.40366562360303976,0.061115956867020704,0.9213587645062322,0.9654479324621196
-2.941440953310364,0.2531539108494533,1.0,0.01624815361890694,0.2622542232068679,0.4040268456375839,0.06413488623759295,0.9213587645062322,0.9654479324621196
-2.9190258845712345,0.25350926445816957,1.0,0.01809453471196455,0.2636388811963445,0.40447928331466965,0.06772837061042403,0.9213587645062322,0.9654479324621196
-2.896610815832105,0.25379426644182124,1.0,0.019571639586410634,0.2647466075879258,0.40484196368527237,0.07047815201817367,0.9213587645062322,0.9654479324621196
-2.8741957470929758,0.2540084388185654,1.0,0.0206794682422452,0.26557740238161176,0.40511440107671604,0.07247592320081757,0.9213587645062322,0.9654479324621196
-2.851780678353846,0.2543661971830986,1.0,0.022525849335302807,0.26696206037108833,0.40556927913766,0.07569553906103321,0.9213587645062322,0.9654479324621196
-2.8293656096147166,0.2548687552921253,1.0,0.025110782865583457,0.2689005815563556,0.40620782726045884,0.07999971233299583,0.9213587645062322,0.9654479324621196
-2.8069505408755875,0.2551568239615711,1.0,0.026587887740029542,0.27000830794793684,0.40657361548851867,0.08236553278885976,0.9213587645062322,0.9654479324621196
-2.784535472136458,0.2556625141562854,1.0,0.029172821270310192,0.2719468291332041,0.4072153325817362,0.08636201034598177,0.9213587645062322,0.9654479324621196
-2.7621204033973283,0.25624290578887626,1.0,0.03212703101920236,0.27416228191636666,0.4079512084933363,0.09073215407301745,0.9213587645062322,0.9654479324621196
-2.7397053346581988,0.2566799317794201,1.0,0.03434268833087149,0.27582387150373855,0.4085048631531328,0.0938886515926711,0.9213587645062322,0.9654479324621196
-2.7172902659190696,0.25719168328111647,1.0,0.03692762186115214,0.2777623926890058,0.4091526959673765,0.09745500103144156,0.9213587645062322,0.9654479324621196
-2.69487519717994,0.2577054794520548,1.0,0.039512555391432794,0.27970091387427304,0.4098025867937372,0.10090887984476421,0.9213587645062322,0.9654479324621196
-2.672460128440811,0.25807373535295797,1.0,0.0413589364844904,0.28108557186374966,0.4102680599727397,0.10331338358982428,0.9213587645062322,0.9654479324621196
-2.6500450597016814,0.25851703406813625,1.0,0.04357459379615953,0.28274716145112155,0.410828025477707,0.10613564315962368,0.9213587645062322,0.9654479324621196
-2.627629990962552,0.25903614457831325,1.0,0.04615952732644018,0.2846856826363888,0.41148325358851673,0.10934800407048297,0.9213587645062322,0.9654479324621196
