order,fold,AUPRC,AUROC,ACC@0.40,n_train,n_test,dim
Ankh_ESM2_ProtT5,1,0.797730372111026,0.8827686045178305,0.8489326765188834,2435,609,1066
Ankh_ESM2_ProtT5,2,0.7440406875868486,0.8908211447656341,0.8341543513957307,2435,609,1066
Ankh_ESM2_ProtT5,3,0.81574851947257,0.8952263042727169,0.8555008210180624,2435,609,1066
Ankh_ESM2_ProtT5,4,0.8172065018388748,0.8992859610733618,0.8669950738916257,2435,609,1066
Ankh_ESM2_ProtT5,5,0.7061747455646084,0.8725040397045244,0.8305921052631579,2436,608,1066
Ankh_ProtT5_ESM2,1,0.7977519940743876,0.8828116041738332,0.8489326765188834,2435,609,1066
Ankh_ProtT5_ESM2,2,0.7441227295970896,0.8908499366578372,0.8341543513957307,2435,609,1066
Ankh_ProtT5_ESM2,3,0.8157826379878083,0.89525509616492,0.8555008210180624,2435,609,1066
Ankh_ProtT5_ESM2,4,0.8172035276943016,0.8993003570194633,0.8669950738916257,2435,609,1066
Ankh_ProtT5_ESM2,5,0.7059959381914037,0.8725184672206832,0.8305921052631579,2436,608,1066
ESM2_Ankh_ProtT5,1,0.7977459465483926,0.8827972709551657,0.8489326765188834,2435,609,1066
ESM2_Ankh_ProtT5,2,0.7441189379310733,0.8908355407117355,0.8341543513957307,2435,609,1066
ESM2_Ankh_ProtT5,3,0.8157798108308263,0.8952407002188184,0.8555008210180624,2435,609,1066
ESM2_Ankh_ProtT5,4,0.8171961252655595,0.8992859610733617,0.8669950738916257,2435,609,1066
ESM2_Ankh_ProtT5,5,0.7060079169170314,0.8725617497691598,0.8305921052631579,2436,608,1066
ESM2_ProtT5_Ankh,1,0.7977316685034086,0.8827829377364982,0.8489326765188834,2435,609,1066
ESM2_ProtT5_Ankh,2,0.7440705729149214,0.890821144765634,0.8341543513957307,2435,609,1066
ESM2_ProtT5_Ankh,3,0.8157630374748929,0.8952407002188184,0.8555008210180624,2435,609,1066
ESM2_ProtT5_Ankh,4,0.8171974747187155,0.8993003570194632,0.8669950738916257,2435,609,1066
ESM2_ProtT5_Ankh,5,0.7060112087081512,0.8725617497691598,0.8305921052631579,2436,608,1066
ProtT5_Ankh_ESM2,1,0.7977240288893671,0.882754271299163,0.8489326765188834,2435,609,1066
ProtT5_Ankh_ESM2,2,0.7441202976105213,0.8908355407117355,0.8341543513957307,2435,609,1066
ProtT5_Ankh_ESM2,3,0.8157610587361519,0.8952407002188185,0.8555008210180624,2435,609,1066
ProtT5_Ankh_ESM2,4,0.8171999319378389,0.8992859610733618,0.8669950738916257,2435,609,1066
ProtT5_Ankh_ESM2,5,0.7059673340724106,0.8725040397045244,0.8305921052631579,2436,608,1066
ProtT5_ESM2_Ankh,1,0.7977416247649813,0.8827829377364981,0.8489326765188834,2435,609,1066
ProtT5_ESM2_Ankh,2,0.7440727467770318,0.8908355407117355,0.8341543513957307,2435,609,1066
ProtT5_ESM2_Ankh,3,0.8157519278368974,0.8952263042727169,0.8555008210180624,2435,609,1066
ProtT5_ESM2_Ankh,4,0.8172023920743425,0.8993003570194632,0.8669950738916257,2435,609,1066
ProtT5_ESM2_Ankh,5,0.7059979267522061,0.8725184672206832,0.8305921052631579,2436,608,1066
