Metric          | Value
----------------|---------
TP              | 82
TN              | 223
FP              | 14
FN              | 36
Precision       | 0.854
Recall          | 0.695
Specificity     | 0.941
Accuracy        | 0.859
Mcc             | 0.674
F1              | 0.766
AUROC           | 0.924
AUPRC           | 0.878
