Metric          | Value
----------------|---------
TP              | 66
TN              | 224
FP              | 22
FN              | 43
PPV             | 0.7500
TPR             | 0.6055
TNR             | 0.9106
Acc             | 0.8169
mcc             | 0.5513
F1              | 0.6701
AUROC           | 0.8645
AUPRC           | 0.7652
