Metric          | Value
----------------|---------
TP              | 67
TN              | 225
FP              | 20
FN              | 43
Precision       | 0.770
Recall          | 0.609
Specificity     | 0.918
Accuracy        | 0.823
Mcc             | 0.567
F1              | 0.680
AUROC           | 0.895
AUPRC           | 0.790
