threshold,precision,recall,specificity,accuracy,f1,mcc,balanced_accuracy
0.0,0.12093788564376799,1.0,0.0,0.12093788564376799,0.21577981651376146,0.0,0.5
0.001,0.12123711340206185,1.0,0.0028076743097800653,0.12340600575894693,0.21625597646193453,0.01844977855397895,0.50140383715489
0.002,0.12209302325581395,1.0,0.010762751520823585,0.13039901275195392,0.21761658031088082,0.0362499223685853,0.5053813757604118
0.003,0.12290268456375839,0.9965986394557823,0.02152550304164717,0.13944878650761003,0.21882001493651979,0.042917196031583726,0.5090620712487147
0.004,0.1247870528109029,0.9965986394557823,0.03837154890032756,0.15425750719868367,0.2218016654049962,0.06278932369953959,0.5174850941780549
0.005,0.12634756360500216,0.9965986394557823,0.05194197473093121,0.16618675442204853,0.22426329889016455,0.07549562899551773,0.5242703070933568
0.006,0.12856516015796401,0.9965986394557823,0.07065980346279832,0.18264088852324145,0.22774970851146523,0.09057926213962723,0.5336292214592904
0.007,0.13004882379050156,0.9965986394557823,0.08282639213851194,0.19333607568901687,0.23007459756576365,0.09941289602308553,0.5397125157971471
0.008,0.13221263062244434,0.9897959183673469,0.10622367805334582,0.2130810366104484,0.23326653306613226,0.10696996735324571,0.5480097982103463
0.009000000000000001,0.13394919168591224,0.9863945578231292,0.12260177819372953,0.22706705059646237,0.23586823912159413,0.11384607353490175,0.5544981680084293
0.01,0.13602251407129456,0.9863945578231292,0.1380439868975199,0.24064171122994651,0.23907666941467437,0.12353830986789642,0.5622192723603245
0.011,0.13902205177372962,0.9863945578231292,0.15956948993916706,0.2595639654463184,0.24369747899159663,0.13638139396363158,0.5729820238811482
0.012,0.14187866927592954,0.9863945578231292,0.1792232101076275,0.27684080625257096,0.24807527801539778,0.14760019297963545,0.5828088839653783
0.013000000000000001,0.1439960139511709,0.9829931972789115,0.19606925596630792,0.29123817359111476,0.25119513255106474,0.1538593318004384,0.5895312266226097
0.014,0.1467750126968004,0.9829931972789115,0.21385119326158167,0.306869600987248,0.2554131683605833,0.16358938649527296,0.5984221952702466
0.015,0.15036420395421435,0.9829931972789115,0.2358446420215255,0.32620320855614976,0.2608303249097473,0.17537301223933638,0.6094189196502185
0.016,0.15274841437632136,0.9829931972789115,0.24988301357042583,0.3385438091320444,0.2644098810612992,0.18278733615054316,0.6164381054246687
0.017,0.15455035002692516,0.9761904761904762,0.2653252222742162,0.35129576306046895,0.26685262668526266,0.18542120250609054,0.6207578492323462
0.018000000000000002,0.156198798470781,0.9727891156462585,0.27702386523163314,0.3611682435211847,0.2691764705882353,0.18891703922751993,0.6249064904389459
