threshold,Accuracy,Precision,Recall,F1,MCC,Specificity,AUROC,AUPRC
0.0,0.7503467406380028,0.0,0.0,0.0,0.0,0.7503467406380028,0.8348788252207846,0.6828433771211379
0.0025,0.7503467406380028,0.0,0.0,0.0,0.0,0.7503467406380028,0.8348788252207846,0.6828433771211379
0.005,0.7503467406380028,0.0,0.0,0.0,0.0,0.7503467406380028,0.8348788252207846,0.6828433771211379
0.0075,0.7503467406380028,0.0,0.0,0.0,0.0,0.7503467406380028,0.8348788252207846,0.6828433771211379
0.01,0.7503467406380028,0.0,0.0,0.0,0.0,0.7503467406380028,0.8348788252207846,0.6828433771211379
0.0125,0.7503467406380028,0.0,0.0,0.0,0.0,0.7503467406380028,0.8348788252207846,0.6828433771211379
0.015,0.7503467406380028,0.0,0.0,0.0,0.0,0.7503467406380028,0.8348788252207846,0.6828433771211379
0.0175,0.7503467406380028,0.0,0.0,0.0,0.0,0.7503467406380028,0.8348788252207846,0.6828433771211379
0.02,0.7503467406380028,0.0,0.0,0.0,0.0,0.7503467406380028,0.8348788252207846,0.6828433771211379
0.0225,0.7503467406380028,0.0,0.0,0.0,0.0,0.7503467406380028,0.8348788252207846,0.6828433771211379
0.025,0.7503467406380028,0.0,0.0,0.0,0.0,0.7503467406380028,0.8348788252207846,0.6828433771211379
0.0275,0.7517337031900139,1.0,0.005555555555555556,0.011049723756906077,0.06460946305340559,0.7513888888888889,0.8348788252207846,0.6828433771211379
0.03,0.7545076282940361,1.0,0.016666666666666666,0.03278688524590164,0.11206262342625052,0.7534818941504178,0.8348788252207846,0.6828433771211379
0.0325,0.7558945908460472,1.0,0.022222222222222223,0.043478260869565216,0.12948897640368015,0.7545327754532776,0.8348788252207846,0.6828433771211379
0.035,0.7558945908460472,1.0,0.022222222222222223,0.043478260869565216,0.12948897640368015,0.7545327754532776,0.8348788252207846,0.6828433771211379
0.0375,0.7586685159500693,1.0,0.03333333333333333,0.06451612903225806,0.15881261039805755,0.7566433566433567,0.8348788252207846,0.6828433771211379
0.04,0.7586685159500693,1.0,0.03333333333333333,0.06451612903225806,0.15881261039805755,0.7566433566433567,0.8348788252207846,0.6828433771211379
0.0425,0.7586685159500693,1.0,0.03333333333333333,0.06451612903225806,0.15881261039805755,0.7566433566433567,0.8348788252207846,0.6828433771211379
0.045,0.7586685159500693,1.0,0.03333333333333333,0.06451612903225806,0.15881261039805755,0.7566433566433567,0.8348788252207846,0.6828433771211379
0.0475,0.7586685159500693,1.0,0.03333333333333333,0.06451612903225806,0.15881261039805755,0.7566433566433567,0.8348788252207846,0.6828433771211379
0.05,0.7586685159500693,1.0,0.03333333333333333,0.06451612903225806,0.15881261039805755,0.7566433566433567,0.8348788252207846,0.6828433771211379
0.0525,0.7586685159500693,1.0,0.03333333333333333,0.06451612903225806,0.15881261039805755,0.7566433566433567,0.8348788252207846,0.6828433771211379
0.055,0.7586685159500693,1.0,0.03333333333333333,0.06451612903225806,0.15881261039805755,0.7566433566433567,0.8348788252207846,0.6828433771211379
0.0575,0.7586685159500693,1.0,0.03333333333333333,0.06451612903225806,0.15881261039805755,0.7566433566433567,0.8348788252207846,0.6828433771211379
0.06,0.7586685159500693,0.875,0.03888888888888889,0.07446808510638298,0.1530458292268219,0.7573632538569425,0.8348788252207846,0.6828433771211379
0.0625,0.7600554785020804,0.8888888888888888,0.044444444444444446,0.08465608465608465,0.16605142658590646,0.7584269662921348,0.8348788252207846,0.6828433771211379
0.065,0.7600554785020804,0.8181818181818182,0.05,0.09424083769633508,0.16350078165951315,0.7591549295774648,0.8348788252207846,0.6828433771211379
0.0675,0.7614424410540915,0.8333333333333334,0.05555555555555555,0.10416666666666667,0.17544570963217937,0.7602256699576869,0.8348788252207846,0.6828433771211379
0.07,0.7628294036061026,0.8461538461538461,0.06111111111111111,0.11398963730569948,0.1867524474774781,0.7612994350282486,0.8348788252207846,0.6828433771211379
0.0725,0.7656033287101248,0.8666666666666667,0.07222222222222222,0.13333333333333333,0.20779651502675758,0.7634560906515581,0.8348788252207846,0.6828433771211379
0.075,0.7656033287101248,0.8666666666666667,0.07222222222222222,0.13333333333333333,0.20779651502675758,0.7634560906515581,0.8348788252207846,0.6828433771211379
0.0775,0.768377253814147,0.8823529411764706,0.08333333333333333,0.15228426395939088,0.22716223176893213,0.765625,0.8348788252207846,0.6828433771211379
0.08,0.7697642163661581,0.8888888888888888,0.08888888888888889,0.16161616161616163,0.2363305921911491,0.7667140825035562,0.8348788252207846,0.6828433771211379
0.0825,0.7725381414701803,0.9,0.1,0.18,0.25380567964785333,0.7689015691868759,0.8348788252207846,0.6828433771211379
0.085,0.7739251040221914,0.9047619047619048,0.10555555555555556,0.1890547263681592,0.2621647745238933,0.77,0.8348788252207846,0.6828433771211379
0.08750000000000001,0.7739251040221914,0.9047619047619048,0.10555555555555556,0.1890547263681592,0.2621647745238933,0.77,0.8348788252207846,0.6828433771211379
0.09,0.7725381414701803,0.8636363636363636,0.10555555555555556,0.18811881188118812,0.25166890089725047,0.7696709585121603,0.8348788252207846,0.6828433771211379
0.0925,0.7725381414701803,0.8333333333333334,0.1111111111111111,0.19607843137254902,0.2502444640791752,0.7704447632711621,0.8348788252207846,0.6828433771211379
0.095,0.7739251040221914,0.84,0.11666666666666667,0.2048780487804878,0.25850737278512,0.771551724137931,0.8348788252207846,0.6828433771211379
0.0975,0.7766990291262136,0.8518518518518519,0.12777777777777777,0.2222222222222222,0.27443674683698593,0.7737752161383286,0.8348788252207846,0.6828433771211379
0.1,0.7766990291262136,0.8518518518518519,0.12777777777777777,0.2222222222222222,0.27443674683698593,0.7737752161383286,0.8348788252207846,0.6828433771211379
0.10250000000000001,0.7780859916782247,0.8571428571428571,0.13333333333333333,0.23076923076923078,0.2821315298150141,0.7748917748917749,0.8348788252207846,0.6828433771211379
