threshold,precision,recall,specificity,accuracy,f1,mcc,balanced_accuracy
0.0,0.25006934812760057,1.0,0.0,0.25006934812760057,0.4000887606790192,0.0,0.5
0.001,0.2734303912647862,1.0,0.11392639171444424,0.33550624133148405,0.4294390853876384,0.1764962828556618,0.5569631958572221
0.002,0.28335690711928335,1.0,0.15664878860736084,0.36754507628294036,0.44158706833210876,0.2106834503319238,0.5783243943036804
0.003,0.290923759580476,1.0,0.18725725910856297,0.390499306518724,0.45072182988563214,0.2334043397809871,0.5936286295542815
0.004,0.29696121222103267,1.0,0.21056038468651747,0.4079750346740638,0.45793383706902024,0.250056527773692,0.6052801923432587
0.005,0.3029233870967742,1.0,0.23266136489735528,0.4245492371705964,0.46499032882011604,0.26547800040919656,0.6163306824486776
0.006,0.30783677650674407,1.0,0.2502311818013686,0.4377253814147018,0.47075718015665796,0.27754343873924736,0.6251155909006842
0.007,0.3129393387138766,1.0,0.26789347142592934,0.45097087378640777,0.47670037675986515,0.289541716845423,0.6339467357129647
0.008,0.3177372455722971,1.0,0.28398372480118367,0.4630374479889043,0.482246740220662,0.3003867615353402,0.6419918624005918
0.009000000000000001,0.32173136992414103,0.9997226844148641,0.29720732383946735,0.4728848821081831,0.48680035109040576,0.3089325826558213,0.6484650041271658
0.01,0.3238626146376551,0.9988907376594565,0.30460514148326245,0.4782246879334258,0.4891363389462249,0.3129263045335037,0.6517479395713595
0.011,0.3272446383133406,0.9986134220743206,0.31542444978731277,0.4862690707350901,0.4929500342231348,0.3198555181444621,0.6570189359308167
0.012,0.3300944174534788,0.9986134220743206,0.3242093582393194,0.4928571428571429,0.4961763692731657,0.32573342947153106,0.6614113901568199
0.013000000000000001,0.33198119295657785,0.9986134220743206,0.3299426669132606,0.49715672676837724,0.49830485020410986,0.32956739242862043,0.6642780444937906
0.014,0.3354760573877399,0.9986134220743206,0.34039208433512114,0.50499306518724,0.502231520223152,0.33655367354973964,0.6695027532047209
0.015,0.33894954819277107,0.9986134220743206,0.35056408359533936,0.512621359223301,0.5061138439915671,0.34335641768348046,0.67458875283483
0.016,0.34129466401288977,0.9986134220743206,0.35731459219530237,0.5176837725381415,0.5087235996326905,0.34787405461022386,0.6779640071348114
0.017,0.34360687022900765,0.9986134220743206,0.3638801553541705,0.5226074895977808,0.5112878034928298,0.35227158044338613,0.6812467887142455
0.018000000000000002,0.34644987492784296,0.9986134220743206,0.37183280932125023,0.5285714285714286,0.5144285714285715,0.35760450665927895,0.6852231156977854
0.019,0.34948063294825743,0.9983361064891847,0.3803402996116146,0.534882108183079,0.517724886747681,0.3630268112795516,0.6893382030503996
0.02,0.35169242809626294,0.9969495285635053,0.387183280932125,0.5396671289875173,0.5199595024587793,0.36618309499130225,0.6920664047478151
0.021,0.35450779246399683,0.9966722129783694,0.3948585167375624,0.5453536754507629,0.5229918509895227,0.3710841652394919,0.6957653648579659
0.022,0.3561942517343905,0.9966722129783694,0.39929720732383944,0.5486823855755895,0.5248247663551402,0.37409177555431555,0.6979847101511044
0.023,0.3588617074388417,0.9966722129783694,0.40623266136489733,0.5538834951456311,0.5277145584024667,0.3788001411319316,0.7014524371716333
0.024,0.3602128941554529,0.9947310038824182,0.41085629739226925,0.5568654646324549,0.5289000294898261,0.3799614609588169,0.7027936506373438
0.025,0.3626529167930442,0.9947310038824182,0.41705196966894764,0.5615117891816921,0.5315255241905609,0.38419629103037106,0.7058914867756829
0.026000000000000002,0.36531214991343314,0.9947310038824182,0.42371000554836324,0.566504854368932,0.5343761638733706,0.3887590733506106,0.7092205047153908
0.027,0.3674828398729638,0.9947310038824182,0.42907342334011467,0.5705270457697642,0.5366948455150744,0.39244429619422583,0.7119022136112665
0.028,0.369298877792649,0.9947310038824182,0.4335121139263917,0.5738557558945908,0.5386290262031684,0.395501051564421,0.714121558904405
0.029,0.3714404059231645,0.9947310038824182,0.43869058627704827,0.577739251040222,0.5409032647214054,0.39907560298706685,0.7167107950797332
0.03,0.3738795080258495,0.9947310038824182,0.4445163676715369,0.5821081830790569,0.5434848484848485,0.4031082619071353,0.7196236857769776
0.031,0.3759958071278826,0.9947310038824182,0.4495098945810986,0.5858529819694869,0.5457173284649323,0.40657482549718926,0.7221204492317583
0.032,0.3781362007168459,0.9947310038824182,0.45450342149066025,0.5895977808599168,0.5479682248701497,0.4100510614598125,0.7246172126865392
0.033,0.37948555096856146,0.9941763727121464,0.45792491215091546,0.5920249653259362,0.5492990117214434,0.41189412529911074,0.726050642431531
0.034,0.38154533844189015,0.9941763727121464,0.46264102089883485,0.5955617198335645,0.5514536225196124,0.41519523051547613,0.7284086968054906
0.035,0.38301282051282054,0.9941763727121464,0.46597003883854266,0.5980582524271845,0.5529847292919945,0.4175311681670258,0.7300732057753445
0.036000000000000004,0.3842110908505846,0.9933444259567388,0.4691141113371555,0.6002080443828016,0.5541031789001469,0.41893214570108356,0.7312292686469472
0.037,0.38624110416217383,0.9933444259567388,0.47364527464398004,0.6036061026352288,0.5562111801242235,0.4221287283459694,0.7334948503003594
0.038,0.3878722252301029,0.9933444259567388,0.4772517107453301,0.6063106796116505,0.5579004750408847,0.42467976770666255,0.7352980683510344
0.039,0.3895595432300163,0.9933444259567388,0.4809506195672277,0.6090846047156727,0.5596437778298571,0.4273026809852293,0.7371475227619833
0.04,0.39121887287024903,0.9933444259567388,0.48455705566857776,0.6117891816920943,0.5613540197461213,0.42986648723691934,0.7389507408126583
0.041,0.3931079894644425,0.9933444259567388,0.48862585537266506,0.6148404993065187,0.5632961157414688,0.4327668549296168,0.7409851406647019
0.042,0.39488479770697826,0.9933444259567388,0.49241723691511,0.6176837725381414,0.5651179301096474,0.43547717603692526,0.7428808314359244
0.043000000000000003,0.3966777408637874,0.9933444259567388,0.49620861845755504,0.6205270457697643,0.5669515669515669,0.4381951251031609,0.744776522207147
0.044,0.39864187910497606,0.9930671103716029,0.5004623636027372,0.6236477115117892,0.5689093653189292,0.4409900307228019,0.74676473698717
0.045,0.4000446977315901,0.992789794786467,0.5035139633808027,0.625866851595007,0.5702907208283552,0.442927858061432,0.7481518790836348
0.046,0.4012117132278694,0.9916805324459235,0.5064730904383207,0.6278085991678225,0.5712916367121975,0.44401725278351717,0.749076811442122
0.047,0.40324763193504737,0.9916805324459235,0.5106343628629554,0.6309292649098475,0.5733525733525734,0.4470380906279786,0.7511574476544394
0.048,0.4046164290563476,0.9916805324459235,0.5134085444793786,0.6330097087378641,0.5747348119575699,0.44905765659847185,0.752544538462651
0.049,0.40601930721181145,0.9914032168607876,0.5163676715368967,0.6351595006934813,0.5761018451373782,0.45095611625039084,0.7538854441988421
0.05,0.40799086757990866,0.9911259012756517,0.5204364712409839,0.6381414701803051,0.5780365518356785,0.4536744986845114,0.7557811862583178
0.051000000000000004,0.40978523027449176,0.9894620077648364,0.5247826891067136,0.6409847434119279,0.5795500690327297,0.45531240338800144,0.757122348435775
0.052000000000000005,0.4117036011080332,0.9891846921797005,0.528666543369706,0.6438280166435506,0.5814180929095355,0.4579219338432593,0.7589256177747032
0.053,0.41356521739130436,0.9891846921797005,0.532272979471056,0.6465325936199723,0.5832720137355899,0.4605945903946578,0.7607288358253783
0.054,0.41534699580810436,0.9891846921797005,0.5356944701313112,0.6490984743411928,0.585041823847794,0.4631381962546199,0.7624395811555058
0.055,0.41732007021650086,0.9889073765945646,0.5395783243943036,0.6519417475728155,0.5869475763311661,0.46577836932141903,0.7642428504944341
