dim,OOF_precision@0.5,OOF_recall@0.5,OOF_accuracy@0.5,OOF_f1@0.5,OOF_mcc@0.5,OOF_auroc,OOF_auprc,n_samples
256,0.7791164658634538,0.6598639455782312,0.9362402303578774,0.714548802946593,0.6819068882544679,0.9432066696589725,0.8022865561017788,2431
320,0.7932489451476793,0.6394557823129252,0.9362402303578774,0.7080979284369114,0.677696354380972,0.9424936095168063,0.8055489539411579,2431
384,0.7974683544303798,0.6428571428571429,0.9370629370629371,0.711864406779661,0.6819495616547557,0.9436101534670956,0.8069391143985677,2431
426,0.8068669527896996,0.6394557823129252,0.9378856437679967,0.713472485768501,0.6849397265864068,0.9476720496340792,0.8140247493834335,2431
512,0.7991452991452992,0.6360544217687075,0.9366515837104072,0.7083333333333334,0.6788353744719542,0.9487058276750101,0.8169475235950384,2431
