dim,best_mcc,best_mcc_threshold,OOF_auprc,OOF_auroc
256,0.7048059056451245,0.5690000000000001,0.8022865561017788,0.9432066696589725
320,0.6926419600425274,0.5670000000000001,0.8055489539411579,0.9424936095168063
384,0.6994566162326606,0.559,0.8069391143985677,0.9436101534670956
426,0.6956036181806227,0.527,0.8140247493834335,0.9476720496340792
512,0.7009295636270974,0.554,0.8169475235950384,0.9487058276750101
