y_true,y_prob
0,0.05209064975484693
0,0.314690696814253
0,0.03678725785875194
0,0.0021563149595857953
1,0.2813028797102708
0,0.5671982117373057
1,0.06526882690237645
0,0.06541108508387816
0,0.0025688093553464515
1,0.1130049887841653
0,0.0019403911942739444
0,0.06699003137576254
0,0.015616493039596264
0,0.0055565219480588155
0,0.015358175826190227
0,0.011396526374125894
0,0.07532037669318681
0,0.02203491545881943
0,0.09809229355307478
0,0.035503570491770775
0,0.39064981811662314
0,0.016160499348968436
1,0.27300354151008877
0,0.01996600110039379
0,0.05173774606555235
0,0.02301232619099447
0,0.008580110788883927
0,0.41676813745158897
0,0.03745458094398812
0,0.03710613678802284
1,0.8795355520285003
1,0.8795388120983058
0,0.019981359832190116
0,0.004163629944830254
0,0.0765476680642048
0,0.05647005984316963
0,0.003899123142019498
0,0.005142845490497936
1,0.5146310613631813
0,0.05678088595780643
0,0.0059134124233350726
0,0.005578076950942582
0,0.06886677532059227
0,0.009254032368076377
0,0.10908774982760099
0,0.5408124751575693
0,0.10929343775464945
0,0.046746121549133234
1,0.879475583935639
0,0.1533363678935829
0,0.015479327079367505
0,0.01567547087095852
0,0.023480498799895236
0,0.003998957633798683
0,0.0562746254582227
0,0.08520931399047167
0,0.0017100180101943046
0,0.05451409970381508
0,0.017602708119596605
1,0.14213865319925642
0,0.011703385943023146
0,0.11419285370352565
0,0.0995966233656504
0,0.0006515613847599977
1,0.22924127119808124
0,0.006728061917320207
0,0.0007650512518738331
0,0.017267168164011474
0,0.02504585942019513
0,0.09285965110043691
0,0.05105981538931413
0,0.006587267814959072
0,0.005524551289428664
0,0.34225799866303613
0,0.0027674515061521577
0,0.05400532142347205
0,0.5333881985815436
0,0.0011332018893431882
0,0.0005801854503000429
0,0.004013366531345835
0,0.011236071947724949
0,0.0009752946003157625
0,0.050524628938331366
0,0.0010066624981751155
0,0.10659595744527
0,0.012151365205132679
0,0.028884552069050853
0,0.15875647440782448
1,0.8795276735022662
0,0.0029467703779446266
0,0.04057042969909419
0,0.007593557328890798
0,0.13239772335108296
0,0.011823368348042
0,0.07549447784468889
0,0.0032895525904963977
0,0.06772594463130989
0,0.006517642311928048
0,0.013110984103285836
0,0.02010091743003616
0,0.013493055951305953
0,0.0022245640825552674
0,0.008729401246597372
0,0.12377186589238753
0,0.03021828551673239
0,0.1256187108794628
1,0.03904431841476181
0,0.008546453619085978
0,0.1702102466924798
0,0.03137582334789088
0,0.0021851272995545173
0,0.0016006546205488417
0,0.12219401105904024
0,0.002418984093272757
0,0.015643940007111744
0,0.01642300811426027
0,0.009247794377101451
0,0.03360461856111319
0,0.032026990033508354
0,0.00626092250533668
0,0.03976590320856366
0,0.05393969921572156
0,0.01819256672529311
0,0.05141363487745565
0,0.042433097892764345
0,0.011273459882204689
0,0.17430245302606875
0,0.004332869589677678
1,0.1460317149894391
0,0.015414502274561556
0,0.017770483112439714
0,0.014102701162550482
1,0.033375004763123786
0,0.024281276080012803
0,0.0043144267280569555
0,0.017573930877685242
0,0.028961921016713115
0,0.016084068614543947
0,0.0008550111791576285
0,0.0018026808209691827
0,0.0793883580109979
0,0.03628670386130349
0,0.01804188126051782
0,0.03378262031944413
1,0.8794999944263892
0,0.04620488259236052
1,0.8795277172160588
0,0.04546161021794727
0,0.04716873448534428
0,0.01600544181479614
0,0.016683882878058102
0,0.03785508338722981
0,0.016591126385903928
0,0.011930012214470497
0,0.10744080223001352
0,0.015433992926097219
0,0.016239023659367077
0,0.25480429102069996
0,0.03136840548797987
0,0.03738170709756673
0,0.010464686859958555
0,0.005291678009678795
0,0.015398026864001425
0,0.005415096007647367
0,0.039147070721800896
0,0.39157383734914875
0,0.7463299943913166
0,0.036281320727384755
0,0.0004077305115013895
0,0.0854083632423822
0,0.001995026602361932
0,0.011580141768942533
0,0.043111872187334935
0,0.15844856565662796
0,0.003111902308260555
0,0.015085607813822188
0,0.02255035020756032
0,0.02309699076013283
0,0.022240205124888893
0,0.0014992371592607516
0,0.0457555142100222
0,0.004126924967795248
0,0.03069158170327692
1,0.2147681506925171
1,0.8610184938308109
0,0.05485722481447336
0,0.02872947594894654
0,0.009758556979011632
0,0.06896934536665714
0,0.08492174745374953
0,0.02222961520316784
0,0.04296881903181336
0,0.006852270083852435
1,0.9336059098297407
0,0.01658780756841601
0,0.0009155308717067489
0,0.002553325669697085
0,0.0009707762403964272
0,0.0023810522998124702
0,0.008550012128264374
1,0.05213133150903422
0,0.48821418664797456
0,0.008213049425812358
0,0.016733018907668692
0,0.07379253914966653
0,0.0009164194046448064
0,0.020932389084394275
0,0.07579535708307523
0,0.02346247812385774
1,0.05591811537517032
0,0.0902315043111154
0,0.13617497407876358
0,0.0027029441162720273
0,0.062170749850545236
0,0.008366007336397994
1,0.8794688121879726
0,0.013372623147913978
0,0.03345834942815028
0,0.058725683198927583
1,0.8794355541755762
0,0.028490997584871038
0,0.17213630871608748
0,0.18802818874269384
0,0.02836523370257581
0,0.0055971201853199865
0,0.010734700380923761
0,0.006081527961183095
0,0.021828541085560465
0,0.0063370570475030875
0,0.008859357011390618
0,0.0032384552081501264
0,0.0019546320396277746
0,0.029733905305723077
0,0.004113021232417168
0,0.025069821649860474
0,0.023473367321284425
1,0.9488275506371293
0,0.024072372861096016
0,0.059718914806151865
1,0.601091484373357
0,0.009825648607752605
0,0.003286154953350687
0,0.3454896847336202
0,0.01409405362588596
0,0.0395434722446334
0,0.04957938561481181
0,0.03404679632640821
1,0.8610184938308109
1,0.012673351544092189
0,0.0791465172126067
1,0.09761391184606207
0,0.018254075479573872
1,0.879584047383183
0,0.002351443885381678
0,0.005975386692129712
0,0.03487896956829595
0,0.07286799267272163
0,0.011902364301990225
0,0.004765851435636474
0,0.044236307523617166
0,0.012146197244057948
0,0.0076589296219086896
0,0.0007715606639757893
1,0.879532886636199
0,0.004789841894438976
0,0.012566389401501536
0,0.043190585294518455
0,0.014948284562724847
0,0.0011751639862876324
0,0.004671818129501158
0,0.0057592509140187
0,0.02776917302095272
0,0.0022991573636221506
0,0.02154891688443867
0,0.060956918541592166
0,0.08105940824897499
0,0.005114651604177139
0,0.004704646338513102
0,0.011678759060593518
1,0.5296102227047214
0,0.030696009318647816
0,0.03841997639493594
0,0.0719165073933141
0,0.021313757319709435
0,0.019748378178873642
0,0.1514091223007939
0,0.011139673565253635
0,0.29460155209934313
0,0.007532350214807262
0,0.0018762257888592562
0,0.00478525221006689
0,0.034130236335571024
1,0.8796038856220669
0,0.015391311231463863
0,0.011099403362862284
0,0.0008929974241403182
0,0.05452590211398882
0,0.008737668353130359
0,0.005548739404531216
0,0.002957070039897758
0,0.380306439444883
0,0.15862219504886754
0,0.02223841492370678
0,0.014431630410409835
0,0.01242971860198641
0,0.37451780256048983
0,0.04061660403153795
1,0.7015182082072138
0,0.0049012898395313625
0,0.05199687771415912
0,0.0074857946084185166
0,0.06967534967303068
0,0.0037470165909118513
0,0.016018040728386092
0,0.11069511159866001
0,0.13367540964313632
1,0.3849219234484145
0,0.28462596634666737
0,0.010818617746591389
0,0.010263084056226432
0,0.09741636198857175
0,0.03894951748434413
0,0.0056540558261797035
0,0.07845760417085834
1,0.44083753850993124
0,0.006903349686374352
1,0.7015182082072138
0,0.012476542775620745
0,0.01575860290948923
1,0.5746227492162304
1,0.8794435712795015
0,0.0857546775656267
0,0.03411559723162902
0,0.0017867190555710857
0,0.008359077727413376
0,0.006000281917423281
0,0.0027066497538229617
0,0.0007609886348016439
0,0.04954809660103169
0,0.009876683930695407
0,0.03273360797156352
0,0.008355401355852079
0,0.02857313195260485
0,0.10989930830535365
0,0.010181909880571972
1,0.8795019028242017
0,0.04846784136983863
0,0.005217478169833111
0,0.020478450245288177
0,0.00544121912367818
0,0.01081189110236334
0,0.12701883848034273
0,0.07331305314165058
0,0.022685879076850175
0,0.001067465218590123
0,0.006239206723663591
0,0.01246743721883705
0,0.07260112786972697
0,0.028259910929102905
0,0.012123179405205875
1,0.9035142460030672
0,0.0093998367661439
0,0.03232350687471451
0,0.009858489485305558
1,0.879612927944176
0,0.04399005582638173
0,0.020727528876623227
0,0.08684657742022261
1,0.8794870456105535
0,0.0004686317654476979
0,0.3292716354036052
0,0.001896649998668714
0,0.046232724605270996
0,0.0002967671661066113
0,0.03282009947591137
