fold,baseline_Accuracy,baseline_Precision,baseline_Recall,baseline_F1,baseline_MCC,baseline_Specificity,baseline_AUROC,baseline_AUPRC,cost_thr,cost_Accuracy,cost_Precision,cost_Recall,cost_F1,cost_MCC,cost_Specificity,cost_AUROC,cost_AUPRC
1,0.8280166435506241,0.78,0.43333333333333335,0.5571428571428572,0.4917161625810606,0.8357487922705314,0.8310638734853153,0.6876741284707225,0.515,0.8349514563106796,0.7904761904761904,0.46111111111111114,0.5824561403508772,0.5158931610252372,0.8425324675324676,0.8313308687615526,0.6867411033785862
2,0.8335644937586685,0.7542372881355932,0.49444444444444446,0.5973154362416108,0.5157226756592803,0.8490878938640133,0.8349866502361881,0.6836611690521087,0.53,0.8363384188626907,0.7421875,0.5277777777777778,0.6168831168831169,0.5287062513697245,0.8566610455311973,0.8348788252207846,0.6828433771211379
3,0.8252427184466019,0.7165354330708661,0.5027624309392266,0.5909090909090909,0.4963899188284713,0.8484848484848485,0.8285451197053407,0.6777493705253654,0.5725,0.8294036061026352,0.6986301369863014,0.56353591160221,0.6238532110091743,0.5201419668024905,0.8626086956521739,0.8293636177614079,0.6800863182266207
4,0.8166666666666667,0.7142857142857143,0.4444444444444444,0.547945205479452,0.4601950115131126,0.8355263157894737,0.8187962962962964,0.6536461192691995,0.465,0.8263888888888888,0.7669902912621359,0.4388888888888889,0.558303886925795,0.487817955520744,0.8363047001620746,0.8194238683127572,0.6537266332175471
5,0.8291666666666667,0.7821782178217822,0.4388888888888889,0.5622775800711743,0.49644577747897145,0.8368336025848142,0.7998559670781893,0.6682816229875365,0.49,0.8305555555555556,0.79,0.4388888888888889,0.5642857142857143,0.5008380074209817,0.8370967741935483,0.8020164609053497,0.6700415193757143
