threshold,precision,recall,specificity,accuracy,f1,mcc,balanced_accuracy
0.0,0.12093788564376799,1.0,0.0,0.12093788564376799,0.21577981651376146,0.0,0.5
0.001,0.12142561127227518,0.9965986394557823,0.007955077211043519,0.12751953928424517,0.21647580347247874,0.017319167721399673,0.502276858333413
0.002,0.12238930659983291,0.9965986394557823,0.016846045858680395,0.1353352529823118,0.21800595238095238,0.035806645189492274,0.5067223426572314
0.003,0.12378538234051542,0.9965986394557823,0.029480580252690687,0.14644179350061703,0.22021796317173994,0.0531106239354307,0.5130396098542365
0.004,0.12596732588134135,0.9965986394557823,0.04866635470285447,0.16330728095433977,0.22366412213740458,0.07260037939112167,0.5226324970793184
0.005,0.12750217580504786,0.9965986394557823,0.06176883481516144,0.17482517482517482,0.22608024691358025,0.08368468662654704,0.5291837371354718
0.006,0.12981834293309702,0.9965986394557823,0.08095460926532522,0.19169066227889758,0.2297138377107017,0.09809243554968512,0.5387766243605537
0.007,0.13153153153153152,0.9931972789115646,0.09780065512400561,0.20608802961744138,0.23229912490055687,0.10538765568508913,0.5454989670177851
0.008,0.133210840606339,0.9863945578231292,0.1169864295741694,0.2221308103661045,0.23472278429785512,0.11019719228855487,0.5516904936986493
0.009000000000000001,0.1358950328022493,0.9863945578231292,0.13710809546092653,0.2398190045248869,0.23887973640856672,0.12296366016606906,0.5617513266420279
0.01,0.13802950975725845,0.9863945578231292,0.1525503041647169,0.25339366515837103,0.24217118997912318,0.13226606155081927,0.5694724309939231
0.011,0.14098201263976665,0.9863945578231292,0.1731399157697707,0.27149321266968324,0.24670353041259038,0.14417087125381195,0.5797672367964499
0.012,0.14194184327254805,0.9795918367346939,0.18530650444548433,0.281365693130399,0.24795523030563926,0.14472320210786543,0.582449170590089
0.013000000000000001,0.1442211055276382,0.9761904761904762,0.20308844174075807,0.2965857671740025,0.2513134851138354,0.15169082579978835,0.5896394589656171
0.014,0.14695340501792115,0.9761904761904762,0.22040243331773515,0.3118058412176059,0.2554517133956386,0.1612793284719327,0.5982964547541056
0.015,0.14947916666666666,0.9761904761904762,0.2358446420215255,0.3253805018510901,0.25925925925925924,0.16967687560171477,0.6060175591060009
0.016,0.15274081958488558,0.9761904761904762,0.2550304164716893,0.3422459893048128,0.2641509433962264,0.1799575495754967,0.6156104463310828
0.017,0.15505132360886006,0.9761904761904762,0.26813289658399625,0.3537638831756479,0.2675990675990676,0.1869062117110923,0.6221616863872362
0.018000000000000002,0.15783664459161148,0.9727891156462585,0.28591483387927,0.3689839572192513,0.2716049382716049,0.19362193858843532,0.6293519747627643
0.019,0.16056338028169015,0.9693877551020408,0.3027608797379504,0.38338132455779517,0.2754954084098598,0.19990837459792243,0.6360743174199956
0.02,0.16228571428571428,0.9659863945578231,0.31399157697707064,0.3928424516659811,0.27788649706457924,0.20328587747247912,0.6399889857674469
0.021,0.16386797915460335,0.9625850340136054,0.3242863827795976,0.4014808720691074,0.2800593765462642,0.2062199637758826,0.6434357083966015
0.022,0.1657848324514991,0.9591836734693877,0.3359850257370145,0.41135335252982314,0.28270676691729324,0.2099581032890317,0.6475843496032011
0.023,0.16775728732897086,0.9591836734693877,0.34534394010294805,0.4195804195804196,0.28556962025316457,0.21497507891033035,0.6522638067861679
0.024,0.17111650485436894,0.9591836734693877,0.3607861488067384,0.43315508021390375,0.29042224510813597,0.22326747542181286,0.6599849111380631
0.025,0.1732186732186732,0.9591836734693877,0.370145063172672,0.4413821472645002,0.2934443288241415,0.22830771186597093,0.6646643683210298
0.026000000000000002,0.17453416149068324,0.95578231292517,0.3781001403837155,0.4479638009049774,0.29516806722689076,0.2301892329132316,0.6669412266544428
0.027,0.17672955974842766,0.95578231292517,0.38745905474964903,0.45619086795557384,0.29830148619957536,0.23527673787073852,0.6716206838374095
0.028,0.17920918367346939,0.95578231292517,0.39775386055217593,0.46524064171123,0.30182599355531686,0.24089698041209484,0.676768086738673
0.029,0.18116883116883117,0.9489795918367347,0.40992044922788956,0.4751131221719457,0.3042529989094875,0.24285677407211087,0.6794500205323122
0.03,0.1834983498349835,0.9455782312925171,0.42115114646700985,0.48457424928013165,0.3073521282476506,0.24675591650773637,0.6833646888797634
0.031,0.1862811028917283,0.9421768707482994,0.4337856808610201,0.49526943644590704,0.3110612015721505,0.25152376966697576,0.6879812758046597
0.032,0.18946648426812585,0.9421768707482994,0.44548432381843706,0.5055532702591526,0.31548974943052394,0.2581622165090223,0.6938305972833683
0.033,0.19166666666666668,0.9387755102040817,0.4553111839026673,0.513780337309749,0.31833910034602075,0.26148671228609494,0.6970433470533745
0.034,0.19350282485875706,0.9319727891156463,0.4656059897051942,0.5220074043603455,0.32046783625730996,0.2628660346990847,0.6987893894104202
0.035,0.19597989949748743,0.9285714285714286,0.47590079550772113,0.5306458247634718,0.3236514522821577,0.2666185697838609,0.7022361120395748
0.036000000000000004,0.19854545454545455,0.9285714285714286,0.4843238184370613,0.5380501851090086,0.3271420011983224,0.27160171109774206,0.706447623504245
0.037,0.20058997050147492,0.9251700680272109,0.4927468413664015,0.5450431921020157,0.3296969696969697,0.2743669484132565,0.7089584546968062
0.038,0.20223048327137547,0.9251700680272109,0.49789424426766493,0.5495680789798437,0.33190970103721784,0.27746375750617924,0.7115321561474379
0.039,0.20606060606060606,0.9251700680272109,0.5095928872250819,0.5598519127930892,0.33705080545229243,0.28456695279186783,0.7173814776261465
0.04,0.20890937019969277,0.9251700680272109,0.518015910154422,0.567256273138626,0.3408521303258145,0.28974067973434087,0.7215929890908165
0.041,0.2112236944660951,0.9217687074829932,0.5264389330837623,0.5742492801316331,0.34369055168040585,0.2927324784272256,0.7241038202833778
0.042,0.21456848772763262,0.9217687074829932,0.5357978474496958,0.5824763471822295,0.3481053307642903,0.2986118942967197,0.7287832774663445
0.043000000000000003,0.2171474358974359,0.9217687074829932,0.542817033224146,0.5886466474701769,0.35149156939040205,0.3030694336424455,0.7322928703535696
0.044,0.21996753246753248,0.9217687074829932,0.5503041647168928,0.5952283011106541,0.35517693315858456,0.30787188101124285,0.736036436099943
0.045,0.22231337161607875,0.9217687074829932,0.5563874590547496,0.6005758946935418,0.3582286847323199,0.3118117843987074,0.7390780832688715
0.046,0.2254575707154742,0.9217687074829932,0.5643425362657931,0.6075689016865488,0.3622994652406417,0.31701763185000503,0.7430556218743931
0.047,0.22888513513513514,0.9217687074829932,0.5727655591951334,0.6149732620320856,0.36671177266576455,0.3225991642560021,0.7472671333390632
