model,dim,val_auprc_mean,val_auroc_mean,test_auprc_mean
ProtT5,256,0.8022865561017788,0.9432066696589725,0.7048059056451245
ProtT5,320,0.8055489539411579,0.9424936095168063,0.6926419600425274
ProtT5,384,0.8069391143985677,0.9436101534670956,0.6994566162326606
ProtT5,426,0.8140247493834335,0.9476720496340792,0.6956036181806227
ProtT5,512,0.8169475235950384,0.9487058276750101,0.7009295636270974
