threshold,precision,recall,specificity,accuracy,f1,mcc,balanced_accuracy
0.0,0.12093788564376799,1.0,0.0,0.12093788564376799,0.21577981651376146,0.0,0.5
0.001,0.12234706616729088,1.0,0.013102480112306972,0.13245577951460305,0.21802002224694106,0.04003810686403684,0.5065512400561535
0.002,0.1259100642398287,1.0,0.044922788956481045,0.16042780748663102,0.22365918600228224,0.07520792008387678,0.5224613944782405
0.003,0.13004882379050156,0.9965986394557823,0.08282639213851194,0.19333607568901687,0.23007459756576365,0.09941289602308553,0.5397125157971471
0.004,0.13434204493351673,0.9965986394557823,0.11651848385587271,0.22295351707116412,0.23676767676767677,0.12142453281539894,0.5565585616558275
0.005,0.1379472693032015,0.9965986394557823,0.14319138979878335,0.24640065816536405,0.24234904880066171,0.13721629165899457,0.5698950146272829
0.006,0.14195736434108527,0.9965986394557823,0.171268132896584,0.27108185931715345,0.24851569126378287,0.1528807440920059,0.5839333861761832
0.007,0.1459163346613546,0.9965986394557823,0.19747309312119793,0.29411764705882354,0.2545612510860122,0.16691146592383568,0.5970358662884901
0.008,0.14933741080530072,0.9965986394557823,0.21899859616284512,0.3130399012751954,0.25975177304964536,0.17814891901365051,0.6077986178093138
0.009000000000000001,0.15332286760858188,0.9965986394557823,0.24286382779597568,0.33401892225421637,0.2657596371882086,0.19040632189859333,0.619731233625879
0.01,0.15656836461126006,0.9931972789115646,0.26392138511932617,0.3521184697655286,0.27049559981472904,0.19836356072207004,0.6285593320154454
0.011,0.15973741794310722,0.9931972789115646,0.2812353766963032,0.36733854380913206,0.27521206409048066,0.20718817391289843,0.6372163278039339
0.012,0.16358543417366947,0.9931972789115646,0.30135704258306034,0.3850267379679144,0.2809042809042809,0.2174232363054707,0.6472771607473125
0.013000000000000001,0.16666666666666666,0.9863945578231292,0.3214787084698175,0.40189222542163716,0.28515240904621436,0.2225534124074284,0.6539366331464733
0.014,0.17008797653958943,0.9863945578231292,0.33785680861020123,0.416289592760181,0.29014507253626814,0.231008116525964,0.6621256832166652
0.015,0.17554479418886199,0.9863945578231292,0.3626579316799251,0.43809132044426163,0.29804727646454265,0.24388939466515902,0.6745262447515272
0.016,0.17945544554455445,0.9863945578231292,0.37950397753860554,0.4529000411353353,0.3036649214659686,0.2527185463217723,0.6829492676808674
0.017,0.18193224592220827,0.9863945578231292,0.38979878334113244,0.46194981489099135,0.3072033898305085,0.25815476330879716,0.6880966705821309
0.018000000000000002,0.18525641025641026,0.9829931972789115,0.4052409920449228,0.4751131221719457,0.3117583603020496,0.2639965965095917,0.6941170946619172
0.019,0.18888888888888888,0.9829931972789115,0.4192793635938231,0.4874537227478404,0.3168859649122807,0.2715740228764192,0.7011362804363673
0.02,0.19266666666666668,0.9829931972789115,0.4333177351427234,0.4997943233237351,0.3221850613154961,0.27923719834906213,0.7081554662108175
0.021,0.19633152173913043,0.9829931972789115,0.4464202152550304,0.5113122171945701,0.3272933182332956,0.2864760520558691,0.714706706266971
0.022,0.1986254295532646,0.9829931972789115,0.45437529246607394,0.5183052241875771,0.3304745568896512,0.29091560096636704,0.7186842448724927
0.023,0.20323488045007032,0.9829931972789115,0.4698175011698643,0.5318798848210613,0.3368298368298368,0.2996382308757951,0.7264053492243879
0.024,0.2065761258041458,0.9829931972789115,0.4805802526906879,0.5413410119292472,0.3414057885410514,0.3058058402373021,0.7317867249847997
0.025,0.21056493030080703,0.9761904761904762,0.4964904071127749,0.5545043192102016,0.3464091732045866,0.3105348958976941,0.7363404416516255
0.026000000000000002,0.2148203592814371,0.9761904761904762,0.5091249415067852,0.5656108597285068,0.3521472392638037,0.31804584481596504,0.7426577088486307
0.027,0.21898928024502298,0.9727891156462585,0.5226953673373889,0.5771287535993418,0.3575,0.3240097916558049,0.7477422414918237
0.028,0.2232630757220921,0.9727891156462585,0.5343940102948058,0.5874125874125874,0.36317460317460315,0.33122052202515784,0.7535915629705321
0.029,0.22788844621513943,0.9727891156462585,0.5465605989705195,0.5981077745783628,0.36927049709489995,0.33885219233523806,0.7596748573083889
0.03,0.23120452708164915,0.9727891156462585,0.5549836218998596,0.6055121349238997,0.3736120182887002,0.3442198141380518,0.763886368773059
0.031,0.2338511856091578,0.9727891156462585,0.5615348619560131,0.6112710818593171,0.3770599868160844,0.34844472484685113,0.7671619888011358
0.032,0.23793677204658903,0.9727891156462585,0.5713617220402434,0.6199095022624435,0.38235294117647056,0.35486817503385915,0.7720754188432509
0.033,0.24193548387096775,0.9693877551020408,0.5821244735610669,0.6289592760180995,0.38722826086956524,0.35981800562193755,0.7757561143315539
0.034,0.24825174825174826,0.9659863945578231,0.5975666822648573,0.6421225832990539,0.3949930458970793,0.36813614977092124,0.7817765384113402
0.035,0.25200356188780054,0.9625850340136054,0.6069255966307908,0.6499382969971206,0.39943542695836276,0.3724637498673216,0.7847553153221981
0.036000000000000004,0.25587703435804704,0.9625850340136054,0.6148806738418343,0.6569313039901276,0.4042857142857143,0.37810865876938177,0.7887328539277199
0.037,0.2613111726685134,0.9625850340136054,0.6256434253626579,0.6663924310983135,0.41103848946986205,0.38588934249249573,0.7941142296881316
0.038,0.2637979420018709,0.9591836734693877,0.6317267197005147,0.6713286713286714,0.41379310344827586,0.38816837410468763,0.7954551965849512
0.039,0.26908396946564883,0.9591836734693877,0.6415535797847449,0.6799670917317976,0.4202682563338301,0.39552028262459843,0.8003686266270663
0.04,0.272108843537415,0.9523809523809523,0.6495086569957885,0.686137392019745,0.42328042328042326,0.39720168127536476,0.8009448046883705
0.041,0.27944111776447106,0.9523809523809523,0.6621431913897988,0.6972439325380502,0.43209876543209874,0.40706606733887163,0.8072620718853756
0.042,0.28484231943031535,0.9523809523809523,0.6710341600374357,0.7050596462361168,0.4385277995301488,0.41418294557879093,0.811707556209194
0.043000000000000003,0.2868937048503612,0.9455782312925171,0.6766495086569958,0.709173179761415,0.440221694378464,0.41437134995752617,0.8111138699747564
0.044,0.291886195995785,0.9421768707482994,0.6855404773046326,0.7165775401069518,0.4456958970233307,0.41954915385751707,0.813858674026466
0.045,0.2965738758029979,0.9421768707482994,0.6925596630790828,0.7227478403948993,0.4511400651465798,0.42548581297196736,0.817368266913691
0.046,0.3010869565217391,0.9421768707482994,0.6991109031352363,0.7285067873303167,0.45634266886326197,0.4311245366723841,0.8206438869417678
0.047,0.3054024255788313,0.9421768707482994,0.7051941974730931,0.7338543809132044,0.4612822647793505,0.43644858078687704,0.8236855341106962
