combo,model,AUPRC_mean,AUPRC_std,Accuracy_mean,Accuracy_std,AUROC_mean,AUROC_std,F1_mean,F1_std,MCC_mean,MCC_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std,Recall_mean,Recall_std
Combo_dim1066_Ankh_ESM2_ProtT5,Cost-Sensitive + BestThreshold(AUPRC→Accuracy),0.6746877902639212,0.013246678792051667,0.83152758514409,0.004084401502245238,0.8234027281923704,0.01325982819230736,0.5891564138909355,0.02994979788571346,0.5106794684278355,0.016287951807816912,0.8470407366142924,0.011930853382140076,0.7576568237449256,0.0385154359498531,0.4860405156537754,0.056602920566907286
Combo_dim1066_Ankh_ProtT5_ESM2,Cost-Sensitive + BestThreshold(AUPRC→Accuracy),0.6746877902639212,0.013246678792051667,0.83152758514409,0.004084401502245238,0.8234027281923704,0.01325982819230736,0.5891564138909355,0.02994979788571346,0.5106794684278355,0.016287951807816912,0.8470407366142924,0.011930853382140076,0.7576568237449256,0.0385154359498531,0.4860405156537754,0.056602920566907286
Combo_dim1066_ESM2_Ankh_ProtT5,Cost-Sensitive + BestThreshold(AUPRC→Accuracy),0.6746877902639212,0.013246678792051667,0.83152758514409,0.004084401502245238,0.8234027281923704,0.01325982819230736,0.5891564138909355,0.02994979788571346,0.5106794684278355,0.016287951807816912,0.8470407366142924,0.011930853382140076,0.7576568237449256,0.0385154359498531,0.4860405156537754,0.056602920566907286
Combo_dim1066_ESM2_ProtT5_Ankh,Cost-Sensitive + BestThreshold(AUPRC→Accuracy),0.6746877902639212,0.013246678792051667,0.83152758514409,0.004084401502245238,0.8234027281923704,0.01325982819230736,0.5891564138909355,0.02994979788571346,0.5106794684278355,0.016287951807816912,0.8470407366142924,0.011930853382140076,0.7576568237449256,0.0385154359498531,0.4860405156537754,0.056602920566907286
Combo_dim1066_ProtT5_Ankh_ESM2,Cost-Sensitive + BestThreshold(AUPRC→Accuracy),0.6746877902639212,0.013246678792051667,0.83152758514409,0.004084401502245238,0.8234027281923704,0.01325982819230736,0.5891564138909355,0.02994979788571346,0.5106794684278355,0.016287951807816912,0.8470407366142924,0.011930853382140076,0.7576568237449256,0.0385154359498531,0.4860405156537754,0.056602920566907286
Combo_dim1066_ProtT5_ESM2_Ankh,Cost-Sensitive + BestThreshold(AUPRC→Accuracy),0.6746877902639212,0.013246678792051667,0.83152758514409,0.004084401502245238,0.8234027281923704,0.01325982819230736,0.5891564138909355,0.02994979788571346,0.5106794684278355,0.016287951807816912,0.8470407366142924,0.011930853382140076,0.7576568237449256,0.0385154359498531,0.4860405156537754,0.056602920566907286
Combo_dim1066_Ankh_ESM2_ProtT5,"Baseline SVM (C=10, γ=0.25)",0.6742024820609867,0.013612063195553276,0.8265314378178455,0.006276715910889076,0.8226495813602659,0.014072647322176649,0.5711180339688371,0.021728029094273946,0.49209390921217927,0.020083546915194518,0.8411362905987362,0.007004273289143309,0.7494473306627911,0.03296684902968724,0.4627747084100675,0.03307308441623192
Combo_dim1066_Ankh_ProtT5_ESM2,"Baseline SVM (C=10, γ=0.25)",0.6742024820609867,0.013612063195553276,0.8265314378178455,0.006276715910889076,0.8226495813602659,0.014072647322176649,0.5711180339688371,0.021728029094273946,0.49209390921217927,0.020083546915194518,0.8411362905987362,0.007004273289143309,0.7494473306627911,0.03296684902968724,0.4627747084100675,0.03307308441623192
Combo_dim1066_ESM2_Ankh_ProtT5,"Baseline SVM (C=10, γ=0.25)",0.6742024820609867,0.013612063195553276,0.8265314378178455,0.006276715910889076,0.8226495813602659,0.014072647322176649,0.5711180339688371,0.021728029094273946,0.49209390921217927,0.020083546915194518,0.8411362905987362,0.007004273289143309,0.7494473306627911,0.03296684902968724,0.4627747084100675,0.03307308441623192
Combo_dim1066_ESM2_ProtT5_Ankh,"Baseline SVM (C=10, γ=0.25)",0.6742024820609867,0.013612063195553276,0.8265314378178455,0.006276715910889076,0.8226495813602659,0.014072647322176649,0.5711180339688371,0.021728029094273946,0.49209390921217927,0.020083546915194518,0.8411362905987362,0.007004273289143309,0.7494473306627911,0.03296684902968724,0.4627747084100675,0.03307308441623192
Combo_dim1066_ProtT5_Ankh_ESM2,"Baseline SVM (C=10, γ=0.25)",0.6742024820609867,0.013612063195553276,0.8265314378178455,0.006276715910889076,0.8226495813602659,0.014072647322176649,0.5711180339688371,0.021728029094273946,0.49209390921217927,0.020083546915194518,0.8411362905987362,0.007004273289143309,0.7494473306627911,0.03296684902968724,0.4627747084100675,0.03307308441623192
Combo_dim1066_ProtT5_ESM2_Ankh,"Baseline SVM (C=10, γ=0.25)",0.6742024820609867,0.013612063195553276,0.8265314378178455,0.006276715910889076,0.8226495813602659,0.014072647322176649,0.5711180339688371,0.021728029094273946,0.49209390921217927,0.020083546915194518,0.8411362905987362,0.007004273289143309,0.7494473306627911,0.03296684902968724,0.4627747084100675,0.03307308441623192
