threshold,Accuracy,Precision,Recall,F1,MCC,Specificity,AUROC,AUPRC
0.0,0.7503467406380028,0.0,0.0,0.0,0.0,0.7503467406380028,0.8313308687615526,0.6867411033785862
0.0025,0.7503467406380028,0.0,0.0,0.0,0.0,0.7503467406380028,0.8313308687615526,0.6867411033785862
0.005,0.7503467406380028,0.0,0.0,0.0,0.0,0.7503467406380028,0.8313308687615526,0.6867411033785862
0.0075,0.7503467406380028,0.0,0.0,0.0,0.0,0.7503467406380028,0.8313308687615526,0.6867411033785862
0.01,0.7503467406380028,0.0,0.0,0.0,0.0,0.7503467406380028,0.8313308687615526,0.6867411033785862
0.0125,0.7503467406380028,0.0,0.0,0.0,0.0,0.7503467406380028,0.8313308687615526,0.6867411033785862
0.015,0.7503467406380028,0.0,0.0,0.0,0.0,0.7503467406380028,0.8313308687615526,0.6867411033785862
0.0175,0.7503467406380028,0.0,0.0,0.0,0.0,0.7503467406380028,0.8313308687615526,0.6867411033785862
0.02,0.7517337031900139,1.0,0.005555555555555556,0.011049723756906077,0.06460946305340559,0.7513888888888889,0.8313308687615526,0.6867411033785862
0.0225,0.7517337031900139,1.0,0.005555555555555556,0.011049723756906077,0.06460946305340559,0.7513888888888889,0.8313308687615526,0.6867411033785862
0.025,0.7517337031900139,1.0,0.005555555555555556,0.011049723756906077,0.06460946305340559,0.7513888888888889,0.8313308687615526,0.6867411033785862
0.0275,0.7517337031900139,1.0,0.005555555555555556,0.011049723756906077,0.06460946305340559,0.7513888888888889,0.8313308687615526,0.6867411033785862
0.03,0.7517337031900139,1.0,0.005555555555555556,0.011049723756906077,0.06460946305340559,0.7513888888888889,0.8313308687615526,0.6867411033785862
0.0325,0.7517337031900139,1.0,0.005555555555555556,0.011049723756906077,0.06460946305340559,0.7513888888888889,0.8313308687615526,0.6867411033785862
0.035,0.753120665742025,1.0,0.011111111111111112,0.02197802197802198,0.09143509756605461,0.7524339360222532,0.8313308687615526,0.6867411033785862
0.0375,0.753120665742025,1.0,0.011111111111111112,0.02197802197802198,0.09143509756605461,0.7524339360222532,0.8313308687615526,0.6867411033785862
0.04,0.753120665742025,1.0,0.011111111111111112,0.02197802197802198,0.09143509756605461,0.7524339360222532,0.8313308687615526,0.6867411033785862
0.0425,0.753120665742025,1.0,0.011111111111111112,0.02197802197802198,0.09143509756605461,0.7524339360222532,0.8313308687615526,0.6867411033785862
0.045,0.753120665742025,1.0,0.011111111111111112,0.02197802197802198,0.09143509756605461,0.7524339360222532,0.8313308687615526,0.6867411033785862
0.0475,0.753120665742025,1.0,0.011111111111111112,0.02197802197802198,0.09143509756605461,0.7524339360222532,0.8313308687615526,0.6867411033785862
0.05,0.753120665742025,1.0,0.011111111111111112,0.02197802197802198,0.09143509756605461,0.7524339360222532,0.8313308687615526,0.6867411033785862
0.0525,0.7545076282940361,1.0,0.016666666666666666,0.03278688524590164,0.11206262342625052,0.7534818941504178,0.8313308687615526,0.6867411033785862
0.055,0.7545076282940361,1.0,0.016666666666666666,0.03278688524590164,0.11206262342625052,0.7534818941504178,0.8313308687615526,0.6867411033785862
0.0575,0.7572815533980582,1.0,0.027777777777777776,0.05405405405405406,0.14487414002992494,0.755586592178771,0.8313308687615526,0.6867411033785862
0.06,0.7586685159500693,1.0,0.03333333333333333,0.06451612903225806,0.15881261039805755,0.7566433566433567,0.8313308687615526,0.6867411033785862
0.0625,0.7614424410540915,1.0,0.044444444444444446,0.0851063829787234,0.18363802298133772,0.758765778401122,0.8313308687615526,0.6867411033785862
