Fold,TP,TN,FP,FN,Precision,Recall,Specificity,Accuracy,MCC,F1,AUROC,AUPRC,param_svc__C,param_svc__class_weight,param_svc__gamma,best_cv_score(avg_prec)
1,145,523,19,36,0.8841463414634146,0.8011049723756906,0.9649446494464945,0.9239280774550485,0.7924429485527745,0.8405797101449275,0.9524117754989704,0.8955944073068282,110.15056790269621,,0.00011584172310543988,0.8907504890969843
2,144,521,20,37,0.8780487804878049,0.7955801104972375,0.9630314232902033,0.9210526315789473,0.7847265342965667,0.8347826086956521,0.9550760306777912,0.9084860105827273,79.15074397656205,,0.00042079886696066364,0.9020893373421996
3,162,517,24,19,0.8709677419354839,0.8950276243093923,0.955637707948244,0.9404432132963989,0.8430586468480842,0.8828337874659401,0.9639607438649523,0.9254590615512991,84.31013932082456,,0.003387255565852149,0.8890207117220209
4,136,522,20,44,0.8717948717948718,0.7555555555555555,0.9630996309963099,0.9113573407202216,0.7554155932846248,0.8095238095238095,0.9465047150471505,0.8903243071009945,110.15056790269621,,0.00011584172310543988,0.8887141930155567
5,160,519,23,20,0.8743169398907104,0.8888888888888888,0.9575645756457565,0.9404432132963989,0.8418196428287675,0.8815426997245179,0.9541820418204183,0.86809899221126,84.31013932082456,,0.003387255565852149,0.8865474271271022
