,AUPRC,AUROC,Recall,F1,MCC,Accuracy,Precision,Specificity
mean,0.8975925557506217,0.9544270613818565,0.8272314303253531,0.8498525231109694,0.8034926731621634,0.927444895269403,0.8758549351144571,0.9608555974654017
std,0.021341859277045898,0.006288824334838577,0.06168426661456804,0.03174714007841381,0.038144766577334,0.012747068261588829,0.005391998177892985,0.004017071266558454
