dim,fold,best_C,best_gamma,best_class_weight,precision@0.5,recall@0.5,accuracy@0.5,f1@0.5,mcc@0.5,auroc,auprc
320,1,30,0.001,balanced,0.8372093023255814,0.5901639344262295,0.9348268839103869,0.6923076923076923,0.6696543303223176,0.935379336637438,0.8146357464911611
320,2,10,0.001,balanced,0.75,0.631578947368421,0.9315352697095436,0.6857142857142857,0.6506256160036582,0.9414241486068111,0.8071218071756977
320,3,3,0.001,balanced,0.8846153846153846,0.7419354838709677,0.9550102249488752,0.8070175438596491,0.7856507729063842,0.9675530709375236,0.8618831315873535
320,4,3,0.003,,0.7391304347826086,0.5666666666666667,0.9219712525667351,0.6415094339622641,0.6052410378733948,0.9345823575331772,0.7556128923780209
320,5,30,0.001,balanced,0.75,0.6666666666666666,0.9377593360995851,0.7058823529411765,0.672670077979182,0.9450069228106611,0.8229274850052491
