threshold,Accuracy,Precision,Recall,F1,MCC,Specificity,AUROC,AUPRC
0.0,0.75,0.0,0.0,0.0,0.0,0.75,0.8194238683127572,0.6537266332175471
0.0025,0.75,0.0,0.0,0.0,0.0,0.75,0.8194238683127572,0.6537266332175471
0.005,0.75,0.0,0.0,0.0,0.0,0.75,0.8194238683127572,0.6537266332175471
0.0075,0.75,0.0,0.0,0.0,0.0,0.75,0.8194238683127572,0.6537266332175471
0.01,0.75,0.0,0.0,0.0,0.0,0.75,0.8194238683127572,0.6537266332175471
0.0125,0.75,0.0,0.0,0.0,0.0,0.75,0.8194238683127572,0.6537266332175471
0.015,0.75,0.0,0.0,0.0,0.0,0.75,0.8194238683127572,0.6537266332175471
0.0175,0.75,0.0,0.0,0.0,0.0,0.75,0.8194238683127572,0.6537266332175471
0.02,0.75,0.0,0.0,0.0,0.0,0.75,0.8194238683127572,0.6537266332175471
0.0225,0.75,0.0,0.0,0.0,0.0,0.75,0.8194238683127572,0.6537266332175471
0.025,0.75,0.0,0.0,0.0,0.0,0.75,0.8194238683127572,0.6537266332175471
0.0275,0.7513888888888889,1.0,0.005555555555555556,0.011049723756906077,0.06459459538099094,0.7510431154381085,0.8194238683127572,0.6537266332175471
0.03,0.7513888888888889,1.0,0.005555555555555556,0.011049723756906077,0.06459459538099094,0.7510431154381085,0.8194238683127572,0.6537266332175471
0.0325,0.7513888888888889,1.0,0.005555555555555556,0.011049723756906077,0.06459459538099094,0.7510431154381085,0.8194238683127572,0.6537266332175471
0.035,0.7513888888888889,1.0,0.005555555555555556,0.011049723756906077,0.06459459538099094,0.7510431154381085,0.8194238683127572,0.6537266332175471
0.0375,0.75,0.5,0.005555555555555556,0.01098901098901099,0.03047138176680026,0.7506963788300836,0.8194238683127572,0.6537266332175471
0.04,0.75,0.5,0.005555555555555556,0.01098901098901099,0.03047138176680026,0.7506963788300836,0.8194238683127572,0.6537266332175471
0.0425,0.75,0.5,0.005555555555555556,0.01098901098901099,0.03047138176680026,0.7506963788300836,0.8194238683127572,0.6537266332175471
0.045,0.75,0.5,0.005555555555555556,0.01098901098901099,0.03047138176680026,0.7506963788300836,0.8194238683127572,0.6537266332175471
0.0475,0.75,0.5,0.005555555555555556,0.01098901098901099,0.03047138176680026,0.7506963788300836,0.8194238683127572,0.6537266332175471
0.05,0.75,0.5,0.005555555555555556,0.01098901098901099,0.03047138176680026,0.7506963788300836,0.8194238683127572,0.6537266332175471
0.0525,0.75,0.5,0.005555555555555556,0.01098901098901099,0.03047138176680026,0.7506963788300836,0.8194238683127572,0.6537266332175471
0.055,0.7513888888888889,0.6666666666666666,0.011111111111111112,0.02185792349726776,0.06224280724777259,0.7517433751743375,0.8194238683127572,0.6537266332175471
0.0575,0.7527777777777778,0.75,0.016666666666666666,0.03260869565217391,0.0863063704004206,0.7527932960893855,0.8194238683127572,0.6537266332175471
0.06,0.7527777777777778,0.75,0.016666666666666666,0.03260869565217391,0.0863063704004206,0.7527932960893855,0.8194238683127572,0.6537266332175471
0.0625,0.7555555555555555,0.8333333333333334,0.027777777777777776,0.053763440860215055,0.12349309560582473,0.7549019607843137,0.8194238683127572,0.6537266332175471
0.065,0.7555555555555555,0.8333333333333334,0.027777777777777776,0.053763440860215055,0.12349309560582473,0.7549019607843137,0.8194238683127572,0.6537266332175471
0.0675,0.7569444444444444,0.8571428571428571,0.03333333333333333,0.06417112299465241,0.1389295116353343,0.7559607293127629,0.8194238683127572,0.6537266332175471
0.07,0.7597222222222222,0.8888888888888888,0.044444444444444446,0.08465608465608465,0.16600117174019455,0.7580872011251758,0.8194238683127572,0.6537266332175471
0.0725,0.7638888888888888,0.9166666666666666,0.06111111111111111,0.11458333333333333,0.20043894080075436,0.7612994350282486,0.8194238683127572,0.6537266332175471
0.075,0.7652777777777777,0.9230769230769231,0.06666666666666667,0.12435233160621761,0.21077836624057134,0.7623762376237624,0.8194238683127572,0.6537266332175471
0.0775,0.7652777777777777,0.9230769230769231,0.06666666666666667,0.12435233160621761,0.21077836624057134,0.7623762376237624,0.8194238683127572,0.6537266332175471
0.08,0.7680555555555556,0.9333333333333333,0.07777777777777778,0.14358974358974358,0.23018819175818184,0.7645390070921986,0.8194238683127572,0.6537266332175471
0.0825,0.7680555555555556,0.9333333333333333,0.07777777777777778,0.14358974358974358,0.23018819175818184,0.7645390070921986,0.8194238683127572,0.6537266332175471
0.085,0.7694444444444445,0.9375,0.08333333333333333,0.15306122448979592,0.23935677693908453,0.765625,0.8194238683127572,0.6537266332175471
0.08750000000000001,0.7708333333333334,0.9411764705882353,0.08888888888888889,0.16243654822335024,0.24821904900232555,0.7667140825035562,0.8194238683127572,0.6537266332175471
0.09,0.7708333333333334,0.9411764705882353,0.08888888888888889,0.16243654822335024,0.24821904900232555,0.7667140825035562,0.8194238683127572,0.6537266332175471
0.0925,0.7708333333333334,0.9411764705882353,0.08888888888888889,0.16243654822335024,0.24821904900232555,0.7667140825035562,0.8194238683127572,0.6537266332175471
0.095,0.7708333333333334,0.9411764705882353,0.08888888888888889,0.16243654822335024,0.24821904900232555,0.7667140825035562,0.8194238683127572,0.6537266332175471
0.0975,0.7708333333333334,0.9411764705882353,0.08888888888888889,0.16243654822335024,0.24821904900232555,0.7667140825035562,0.8194238683127572,0.6537266332175471
0.1,0.7708333333333334,0.9411764705882353,0.08888888888888889,0.16243654822335024,0.24821904900232555,0.7667140825035562,0.8194238683127572,0.6537266332175471
0.10250000000000001,0.7736111111111111,0.9473684210526315,0.1,0.18090452261306533,0.26514255244320895,0.7689015691868759,0.8194238683127572,0.6537266332175471
0.105,0.7736111111111111,0.9473684210526315,0.1,0.18090452261306533,0.26514255244320895,0.7689015691868759,0.8194238683127572,0.6537266332175471
0.1075,0.7736111111111111,0.9473684210526315,0.1,0.18090452261306533,0.26514255244320895,0.7689015691868759,0.8194238683127572,0.6537266332175471
