threshold,precision,recall,specificity,accuracy,f1,mcc,auprc,auroc
-2.4115269892537805,0.2653540993241258,1.0,0.07680945347119646,0.3076710052617004,0.41941477008824896,0.14276450310013228,0.9196880861284642,0.9653874087850935
-2.389627813997162,0.2663716814159292,1.0,0.08161004431314624,0.31127111603433955,0.4206848357791754,0.14744017337252846,0.9196880861284642,0.9653874087850935
-2.3677286387405436,0.26723882805563776,1.0,0.08567208271787297,0.31431736361118806,0.4217655301261093,0.15131063076535642,0.9196880861284642,0.9653874087850935
-2.345829463483925,0.2684304399524376,1.0,0.09121122599704579,0.3184713375796178,0.42324818373564566,0.15647322302230568,0.9196880861284642,0.9653874087850935
-2.323930288227307,0.2693914081145585,1.0,0.09564254062038405,0.32179451675436166,0.4244418331374853,0.1605156649470048,0.9196880861284642,0.9653874087850935
-2.3020311129706887,0.2710084033613445,1.0,0.10302806499261448,0.3273331487122681,0.42644628099173554,0.16709719146370258,0.9196880861284642,0.9653874087850935
-2.2801319377140707,0.2719060523938573,1.0,0.10709010339734121,0.3303793962891166,0.4275568181818182,0.17064128241788695,0.9196880861284642,0.9653874087850935
-2.2582327624574523,0.27338782924613986,1.0,0.1137370753323486,0.33536416505123234,0.42938659058487877,0.17633585038192168,0.9196880861284642,0.9653874087850935
-2.236333587200834,0.2753048780487805,1.0,0.12223042836041359,0.3417335918028247,0.43174754960554623,0.18344108910932103,0.9196880861284642,0.9653874087850935
-2.214434411944216,0.27682403433476394,1.0,0.12887740029542097,0.3467183605649405,0.4336134453781513,0.18888187283155242,0.9196880861284642,0.9653874087850935
-2.1925352366875974,0.2785317705120296,1.0,0.1362629246676514,0.35225699252284687,0.4357056694813028,0.1948167181297033,0.9196880861284642,0.9653874087850935
-2.1706360614309794,0.27991320520768753,1.0,0.14217134416543575,0.35668789808917195,0.43739404214095423,0.19948843734420396,0.9196880861284642,0.9653874087850935
-2.148736886174361,0.28209934395501407,1.0,0.15140324963072377,0.36361118803655496,0.44005847953216376,0.20666581089644318,0.9196880861284642,0.9653874087850935
-2.1268377109177425,0.28324968632371395,1.0,0.15620384047267355,0.3672112988091941,0.44145685651429967,0.21034421507720205,0.9196880861284642,0.9653874087850935
-2.1049385356611245,0.2848121250394695,0.9988925802879292,0.163589364844904,0.37247299916920523,0.44324324324324327,0.21426823783975296,0.9196880861284642,0.9653874087850935
-2.083039360404506,0.2863954227590591,0.9977851605758582,0.1709748892171344,0.3777346995292163,0.4450481600395159,0.21818857928126073,0.9196880861284642,0.9653874087850935
-2.061140185147888,0.287767486426062,0.9977851605758582,0.17651403249630723,0.3818886734976461,0.4467030242935052,0.22233172072078974,0.9196880861284642,0.9653874087850935
-2.0392410098912697,0.28924558587479937,0.9977851605758582,0.18242245199409157,0.3863195790639712,0.4484818317570931,0.22671041634168823,0.9196880861284642,0.9653874087850935
-2.017341834634651,0.29056237879767294,0.9955703211517165,0.1894387001477105,0.39102741622819165,0.44983737803352514,0.22874714622849227,0.9196880861284642,0.9653874087850935
-1.9954426593780332,0.29203252032520327,0.9944629014396457,0.19608567208271788,0.39573525339241206,0.4514831573655103,0.2320966928245339,0.9196880861284642,0.9653874087850935
-1.9735434841214148,0.29365598430346634,0.9944629014396457,0.20236336779911374,0.4004430905566325,0.4534208533198687,0.23668457732301773,0.9196880861284642,0.9653874087850935
-1.9516443088647966,0.29471611421069904,0.9944629014396457,0.20642540620384048,0.40348933813348103,0.4546835443037975,0.23963325459105259,0.9196880861284642,0.9653874087850935
-1.9297451336081783,0.2974494865849619,0.9944629014396457,0.21676514032496308,0.41124342287455,0.4579296277409485,0.24707418309531626,0.9196880861284642,0.9653874087850935
-1.9078459583515601,0.2998330550918197,0.9944629014396457,0.22562776957163957,0.41788978122403764,0.4607491021036429,0.2533850982887653,0.9196880861284642,0.9653874087850935
-1.885946783094942,0.3016139878950908,0.9933554817275747,0.23301329394387002,0.42315148158404875,0.46272891410884703,0.2571843447734442,0.9196880861284642,0.9653874087850935
-1.8640476078383235,0.30434782608695654,0.9922480620155039,0.24372230428360414,0.4309055663251177,0.465817520145568,0.26332606666117603,0.9196880861284642,0.9653874087850935
-1.8421484325817052,0.30684931506849317,0.9922480620155039,0.25258493353028066,0.43755192467460535,0.4687418257912634,0.2695303665834988,0.9196880861284642,0.9653874087850935
-1.820249257325087,0.3087525844245348,0.9922480620155039,0.259231905465288,0.44253669343672114,0.4709592641261498,0.27415727770715126,0.9196880861284642,0.9653874087850935
-1.7983500820684688,0.31197771587743733,0.9922480620155039,0.27031019202363366,0.4508446413735807,0.4747019867549669,0.2818249534413759,0.9196880861284642,0.9653874087850935
-1.7764509068118504,0.3149384885764499,0.9922480620155039,0.28028064992614476,0.45832179451675437,0.4781216648879402,0.28868548521641524,0.9196880861284642,0.9653874087850935
-1.7545517315552321,0.3177304964539007,0.9922480620155039,0.2895125553914328,0.46524508446413737,0.48133225893096965,0.29500929486823246,0.9196880861284642,0.9653874087850935
-1.732652556298614,0.3196575098109169,0.9922480620155039,0.29579025110782864,0.4699529216283578,0.48354020507285483,0.29929622195672334,0.9196880861284642,0.9653874087850935
-1.7107533810419957,0.3227665706051873,0.9922480620155039,0.30576070901033975,0.47743007477153143,0.48708888284860014,0.30608657584400156,0.9196880861284642,0.9653874087850935
-1.6888542057853775,0.32641165755919854,0.9922480620155039,0.3172082717872969,0.48601495430628633,0.49122807017543857,0.31386107709808775,0.9196880861284642,0.9653874087850935
-1.666955030528759,0.33026170291190565,0.9922480620155039,0.32902511078286556,0.4948767654389366,0.49557522123893805,0.3218693346180509,0.9196880861284642,0.9653874087850935
-1.6450558552721408,0.33383010432190763,0.9922480620155039,0.3397341211225997,0.5029077817779009,0.4995818232506273,0.3291181695123847,0.9196880861284642,0.9653874087850935
-1.6231566800155226,0.3373493975903614,0.9922480620155039,0.3500738552437223,0.5106618665189698,0.5035122225344197,0.3361144547378285,0.9196880861284642,0.9653874087850935
-1.6012575047589044,0.3434266002299732,0.9922480620155039,0.3674298375184638,0.5236776516200499,0.510250569476082,0.34786525891181586,0.9196880861284642,0.9653874087850935
-1.579358329502286,0.3459605720912254,0.991140642303433,0.37518463810930575,0.5292162835779562,0.5128939828080229,0.3519548086471403,0.9196880861284642,0.9653874087850935
