threshold,precision,recall,specificity,accuracy,f1,mcc,balanced_accuracy
0.0,0.12093788564376799,1.0,0.0,0.12093788564376799,0.21577981651376146,0.0,0.5
0.001,0.12142561127227518,0.9965986394557823,0.007955077211043519,0.12751953928424517,0.21647580347247874,0.017319167721399673,0.502276858333413
0.002,0.12285115303983228,0.9965986394557823,0.02105755732335049,0.13903743315508021,0.21873833519970137,0.04225226346423208,0.5088280983895664
0.003,0.12420517168291649,0.9965986394557823,0.033224145999064106,0.1497326203208556,0.22088202035431587,0.05735798840564801,0.5149113927274233
0.004,0.12618432385874245,0.9965986394557823,0.05053813757604118,0.16495269436445906,0.22400611620795108,0.07426624295691918,0.5235683885159117
0.005,0.12800349497597205,0.9965986394557823,0.06598034627983154,0.17852735499794323,0.22686798296554395,0.08700363097920055,0.5312894928678069
0.006,0.13074520303435966,0.9965986394557823,0.08844174075807207,0.19827231591937475,0.23116370808678502,0.10330073004914128,0.5425201901069272
0.007,0.13306085376930063,0.9965986394557823,0.10669162377164249,0.21431509666803786,0.23477564102564102,0.11529458541795319,0.5516451316137124
0.008,0.1349721706864564,0.9897959183673469,0.1272812353766963,0.2315919374742904,0.23755102040816325,0.12051950989385131,0.5585385768720216
0.009000000000000001,0.13724562233790819,0.9863945578231292,0.14693495554515676,0.24845742492801318,0.24096385542168675,0.12892552594872556,0.566664756684143
0.01,0.13968100531657807,0.9829931972789115,0.1670566214319139,0.26573426573426573,0.2446043165467626,0.1374285203912849,0.5750249093554127
0.011,0.14173228346456693,0.9795918367346939,0.1839026672905943,0.2801316330728095,0.24763542562338778,0.1439231927769317,0.5817472520126441
0.012,0.14457831325301204,0.9795918367346939,0.2026204960224614,0.2965857671740025,0.25196850393700787,0.15444603638647103,0.5911061663785776
0.013000000000000001,0.14678899082568808,0.9795918367346939,0.2166588675713617,0.3089263677498972,0.2553191489361702,0.16216279734511913,0.5981253521530278
0.014,0.1497659906396256,0.9795918367346939,0.23490875058493216,0.3249691484985603,0.2598105548037889,0.17202157262660459,0.607250293659813
0.015,0.15205913410770855,0.9795918367346939,0.2484791764155358,0.33689839572192515,0.263254113345521,0.17925401333904037,0.6140355065751149
0.016,0.15450643776824036,0.9795918367346939,0.2625175479644361,0.34923899629781985,0.2669138090824838,0.18666937217774324,0.621054692349565
0.017,0.1567449481157837,0.9761904761904762,0.2774918109499298,0.36199095022624433,0.2701176470588235,0.19184313970640585,0.626841143570203
0.018000000000000002,0.15988857938718662,0.9761904761904762,0.2943378568086102,0.376799670917318,0.27477261847774054,0.20069100066560316,0.6352641664995432
0.019,0.16147308781869688,0.9693877551020408,0.30744033692091716,0.38749485808309336,0.2768334142787761,0.20238420553845846,0.638414046011479
0.02,0.16368876080691644,0.9659863945578231,0.32101076275152085,0.39901275195392844,0.2799408575653031,0.20701373543786875,0.643498578654672
0.021,0.16540035067212155,0.9625850340136054,0.3317735142723444,0.4080625257095845,0.2822942643391521,0.21021384973909477,0.6471792741429749
0.022,0.16745562130177516,0.9625850340136054,0.34160037435657464,0.4167009461127108,0.2852822580645161,0.2154576145922159,0.65209270418509
0.023,0.16895522388059703,0.9625850340136054,0.3486195601310248,0.42287124640065815,0.28745556119857796,0.219206598218015,0.6556022970723151
0.024,0.17256097560975608,0.9625850340136054,0.3649976602714085,0.43726861373920195,0.29265770423991727,0.22797473054556422,0.663791347142507
0.025,0.17534076827757125,0.9625850340136054,0.37716424894712214,0.4479638009049774,0.2966457023060797,0.23451556994171346,0.6698746414803638
0.026000000000000002,0.17787554996857322,0.9625850340136054,0.3879270004679457,0.4574249280131633,0.3002652519893899,0.24032786429631334,0.6752560172407756
0.027,0.17938931297709923,0.9591836734693877,0.3963500233972859,0.4644179350061703,0.3022508038585209,0.242512340038974,0.6777668484333368
0.028,0.18335500650195058,0.9591836734693877,0.41226017781937296,0.4784039489921843,0.3078602620087336,0.2512263581551847,0.6857219256443803
0.029,0.18403693931398418,0.9489795918367347,0.42115114646700985,0.48498560263266144,0.3082872928176796,0.24909839662686212,0.6850653691518723
0.03,0.1863270777479893,0.9455782312925171,0.4319138979878334,0.49403537638831757,0.3113101903695409,0.2527939171878214,0.6887460646401753
0.031,0.18813905930470348,0.9387755102040817,0.442676649508657,0.5026737967914439,0.313458262350937,0.25425085997508795,0.6907260798563694
0.032,0.19057519057519057,0.935374149659864,0.4534394010294806,0.5117235705470999,0.31663788140472077,0.25811050512084077,0.6944067753446723
0.033,0.19336626676076218,0.9319727891156463,0.4651380439868975,0.5215960510078157,0.32028053769725306,0.26259337096848795,0.698555416551272
0.034,0.19484240687679083,0.9251700680272109,0.4740290126345344,0.5285890580008227,0.32189349112426036,0.26324041979264273,0.6995995403308727
0.035,0.19666182873730043,0.9217687074829932,0.4819840898455779,0.5351707116412999,0.3241626794258373,0.2656762154917316,0.7018763986642855
0.036000000000000004,0.20014771048744462,0.9217687074829932,0.4932147870846982,0.5450431921020157,0.3288834951456311,0.2723890004521178,0.7074917472838457
0.037,0.20193740685543965,0.9217687074829932,0.4988301357042583,0.5499794323323736,0.3312958435207824,0.2757743072869007,0.7102994215936258
0.038,0.20561456752655538,0.9217687074829932,0.5100608329433786,0.5598519127930892,0.3362282878411911,0.282607046984262,0.7159147702131858
0.039,0.20878274268104777,0.9217687074829932,0.5194197473093122,0.5680789798436857,0.34045226130653267,0.2883684640501128,0.7205942273961528
0.04,0.21073094867807154,0.9217687074829932,0.5250350959288722,0.5730152200740436,0.3430379746835443,0.29185662769839377,0.7234019017059328
0.041,0.2128829536527887,0.9217687074829932,0.531118390266729,0.5783628136569313,0.34588385449904274,0.2956632817229098,0.7264435488748611
0.042,0.2150793650793651,0.9217687074829932,0.5372016846045858,0.583710407239819,0.3487773487773488,0.29950003436042777,0.7294851960437896
0.043000000000000003,0.21784565916398713,0.9217687074829932,0.5446888160973327,0.5902920608802962,0.35240572171651496,0.3042653370906192,0.7332287617901629
0.044,0.22068403908794787,0.9217687074829932,0.5521759475900796,0.5968737145207733,0.35611038107752957,0.3090804665106711,0.7369723275365364
0.045,0.22277227722772278,0.9183673469387755,0.5591951333645298,0.6026326614561909,0.35856573705179284,0.31142463397152925,0.7387812401516527
0.046,0.22613065326633167,0.9183673469387755,0.5676181562938699,0.6100370218017277,0.3629032258064516,0.3169656704405102,0.7429927516163227
0.047,0.22913117546848383,0.9149659863945578,0.5765091249415067,0.6174413821472645,0.36648501362397823,0.3206828751634546,0.7457375556680323
